delivery_id,part_id,source_warehouse,destination_site,destination_lat,destination_lon,order_date,planned_delivery_date,actual_delivery_date,quantity,transport_mode,delivery_cost,delivery_status,distance_km
DEL000043,SP00100,WH05,Site_D,20.276932,72.248371,2023-01-31,2023-02-07,2023-02-10,6,Road,4818.87,Delivered,632.65
DEL000044,SP00122,WH04,Site_A,22.512175,89.945733,2023-02-01,2023-02-03,2023-02-05,6,Air,1703.42,Delivered,149.38
DEL000045,SP00027,WH03,Site_E,11.735618,78.733042,2023-02-01,2023-02-04,2023-02-04,4,Road,6086.48,Delivered,796.65
DEL000046,SP00091,WH03,Site_B,11.632478,79.189028,2023-02-02,2023-02-04,2023-02-06,1,Air,8291.57,Delivered,698.71
DEL000047,SP00188,WH03,Site_D,13.479496,79.65285,2023-02-02,2023-02-05,2023-02-04,4,Road,4976.85,Delivered,667.32
DEL000048,SP00170,WH04,Site_D,24.240736,88.780424,2023-02-02,2023-02-03,2023-02-06,8,Express,7743.25,Delivered,548.03
DEL000049,SP00087,WH05,Site_C,17.886285,73.974474,2023-02-04,2023-02-05,2023-02-07,6,Express,12060.66,Delivered,775.75
DEL000050,SP00125,WH01,Site_A,17.712469,71.228137,2023-02-07,2023-02-12,2023-02-11,9,Road,4040.46,Delivered,502.71
DEL000051,SP00093,WH01,Site_E,19.331686,73.633988,2023-02-07,2023-02-08,2023-02-07,2,Express,7093.74,Delivered,436.92
DEL000052,SP00178,WH02,Site_B,29.185519,75.827876,2023-02-07,2023-02-08,2023-02-11,5,Express,1947.75,Delivered,140.08
DEL000053,SP00006,WH02,Site_C,26.71238,76.123328,2023-02-07,2023-02-08,2023-02-11,6,Express,2817.85,Delivered,200.36
DEL000054,SP00132,WH02,Site_D,28.959453,76.917473,2023-02-08,2023-02-10,2023-02-13,3,Air,1526.48,Delivered,124.09
DEL000055,SP00093,WH01,Site_B,17.277944,74.580072,2023-02-08,2023-02-10,2023-02-10,5,Air,5286.03,Delivered,473.83
DEL000056,SP00071,WH05,Site_B,19.101251,74.579455,2023-02-13,2023-02-14,2023-02-16,2,Express,11327.49,Delivered,774.34
DEL000057,SP00150,WH05,Site_B,17.430058,74.487338,2023-02-14,2023-02-15,2023-02-17,5,Express,7723.68,Delivered,541.5
DEL000058,SP00045,WH03,Site_A,12.039168,80.562047,2023-02-14,2023-02-15,2023-02-17,3,Express,980.45,Delivered,71.3
DEL000059,SP00181,WH04,Site_E,22.035817,88.841593,2023-02-14,2023-02-21,2023-02-23,2,Road,3310.6,Delivered,454.77
DEL000060,SP00015,WH04,Site_B,24.529648,89.708122,2023-02-15,2023-02-16,2023-02-18,5,Express,7822.79,Delivered,544.28
DEL000061,SP00045,WH02,Site_B,28.239704,77.434128,2023-02-17,2023-02-19,2023-02-20,9,Air,7472.59,Delivered,660.99
DEL000062,SP00140,WH03,Site_C,13.054715,80.575751,2023-02-18,2023-02-20,2023-02-22,1,Air,1695.27,Delivered,130.06
DEL000063,SP00061,WH04,Site_B,20.765866,87.853638,2023-02-18,2023-02-19,2023-02-18,8,Express,4037.49,Delivered,272.57
DEL000064,SP00023,WH05,Site_C,16.988937,75.317881,2023-02-18,2023-02-24,2023-02-24,8,Road,1687.83,Delivered,216.7
DEL000065,SP00006,WH03,Site_C,15.014362,78.348092,2023-02-18,2023-02-24,2023-02-27,8,Road,2911.65,Delivered,339.45
DEL000066,SP00172,WH04,Site_C,22.914946,90.089,2023-02-18,2023-02-22,2023-02-25,8,Road,3555.1,Delivered,406.09
DEL000067,SP00033,WH02,Site_B,29.911816,76.566909,2023-02-20,2023-02-22,2023-02-24,1,Air,1379.03,Delivered,105.9
DEL000068,SP00155,WH01,Site_B,17.772145,74.097429,2023-02-20,2023-02-24,2023-02-26,8,Road,3957.14,Delivered,451.97
DEL000069,SP00120,WH05,Site_A,19.821913,72.230185,2023-02-20,2023-02-22,2023-02-25,4,Air,6504.34,Delivered,496.82
DEL000070,SP00190,WH03,Site_A,11.428429,78.887624,2023-02-20,2023-02-21,2023-02-23,6,Express,2241.27,Delivered,164.66
DEL000071,SP00170,WH03,Site_B,13.776288,80.498675,2023-02-20,2023-02-22,2023-02-23,3,Air,9130.42,Delivered,749.51
DEL000072,SP00077,WH05,Site_D,20.335283,74.878463,2023-02-21,2023-02-23,2023-02-25,4,Air,7066.35,Delivered,554.3
DEL000073,SP00003,WH03,Site_A,13.490342,79.458279,2023-02-21,2023-02-23,2023-02-26,4,Air,3697.95,Delivered,315.43
DEL000074,SP00077,WH04,Site_B,21.992598,89.355396,2023-02-21,2023-02-26,2023-02-26,8,Road,5143.12,Delivered,689.91
DEL000075,SP00140,WH01,Site_B,18.823955,72.685282,2023-02-21,2023-02-23,2023-02-23,7,Air,4389.57,Delivered,337.98
DEL000076,SP00082,WH03,Site_C,12.299228,80.031561,2023-02-22,2023-02-24,2023-02-25,3,Air,743.02,Delivered,58.9
DEL000077,SP00044,WH03,Site_C,11.255641,80.660187,2023-02-23,2023-02-24,2023-02-24,5,Express,5666.99,Delivered,370.08
DEL000078,SP00025,WH05,Site_D,16.730795,72.943956,2023-02-23,2023-02-24,2023-02-27,1,Express,6416.09,Delivered,411.71
DEL000079,SP00182,WH04,Site_A,22.515875,90.145886,2023-02-24,2023-02-25,2023-02-27,2,Express,1480.88,Delivered,101.82
DEL000080,SP00134,WH04,Site_A,21.510807,89.900422,2023-02-24,2023-02-26,2023-02-26,2,Air,6354.99,Delivered,502.24
DEL000081,SP00140,WH03,Site_C,14.006868,80.998104,2023-02-24,2023-02-25,2023-02-25,1,Express,3582.42,Delivered,259.97
DEL000082,SP00064,WH01,Site_A,19.782367,71.922154,2023-02-24,2023-03-02,2023-03-05,9,Road,5352.14,Delivered,680.46
DEL000083,SP00023,WH05,Site_C,16.627401,75.075087,2023-02-24,2023-02-25,2023-02-28,6,Express,3797.23,Delivered,230.72
DEL000084,SP00071,WH05,Site_E,19.054991,73.650032,2023-02-27,2023-03-01,2023-03-03,10,Air,7897.11,Delivered,624.15
DEL000085,SP00155,WH03,Site_E,13.015162,78.802643,2023-02-27,2023-02-28,2023-02-28,1,Express,9419.93,Delivered,600.24
DEL000086,SP00196,WH04,Site_D,21.424585,88.484688,2023-02-27,2023-03-01,2023-03-02,9,Air,7395.64,Delivered,647.95
DEL000087,SP00098,WH03,Site_B,14.530099,81.766711,2023-03-03,2023-03-04,2023-03-06,6,Express,10372.15,Delivered,730.55
DEL000088,SP00026,WH01,Site_D,17.503969,72.997459,2023-03-03,2023-03-04,2023-03-06,9,Express,7102.23,Delivered,457.5
DEL000089,SP00159,WH04,Site_B,21.618757,86.797131,2023-03-03,2023-03-04,2023-03-07,3,Express,10892.03,Delivered,684.59
DEL000090,SP00057,WH01,Site_E,19.005345,73.460524,2023-03-03,2023-03-05,2023-03-08,3,Air,6336.84,Delivered,531.88
DEL000091,SP00065,WH02,Site_E,26.785189,75.136277,2023-03-04,2023-03-11,2023-03-12,7,Road,1202.06,Delivered,160.17
DEL000092,SP00071,WH02,Site_C,29.910528,77.34047,2023-03-04,2023-03-10,2023-03-09,4,Road,3523.71,Delivered,414.39
DEL000093,SP00067,WH01,Site_C,19.326856,71.860441,2023-03-04,2023-03-07,2023-03-06,5,Road,910.51,Delivered,107.23
DEL000094,SP00133,WH04,Site_E,23.734163,86.7973,2023-03-04,2023-03-06,2023-03-06,5,Air,8429.02,Delivered,768.35
DEL000095,SP00190,WH03,Site_B,12.39513,82.082545,2023-03-05,2023-03-07,2023-03-07,9,Air,4409.35,Delivered,340.7
DEL000096,SP00146,WH04,Site_A,20.73181,90.205028,2023-03-05,2023-03-07,2023-03-07,4,Air,5127.59,Delivered,392.05
DEL000097,SP00016,WH01,Site_D,17.187829,72.71732,2023-03-05,2023-03-07,2023-03-09,10,Air,4886.32,Delivered,446.77
DEL000098,SP00002,WH03,Site_D,12.987066,81.062848,2023-03-05,2023-03-07,2023-03-06,10,Air,5169.9,Delivered,406.85
DEL000099,SP00076,WH03,Site_D,13.044054,79.92582,2023-03-06,2023-03-09,2023-03-08,10,Road,740.22,Delivered,85.48
DEL000100,SP00151,WH01,Site_A,18.958595,71.083847,2023-03-06,2023-03-08,2023-03-10,2,Air,5965.86,Delivered,495.8
DEL000101,SP00078,WH03,Site_E,12.564274,80.97304,2023-03-06,2023-03-12,2023-03-11,1,Road,4970.58,Delivered,636.87
DEL000102,SP00054,WH04,Site_A,22.67919,87.718829,2023-03-06,2023-03-12,2023-03-11,8,Road,1699.07,Delivered,232.76
DEL000103,SP00131,WH03,Site_B,11.483643,81.94757,2023-03-06,2023-03-10,2023-03-09,7,Road,4960.2,Delivered,612.72
DEL000104,SP00074,WH05,Site_A,17.794924,75.236174,2023-03-07,2023-03-10,2023-03-13,7,Road,622.7,Delivered,76.82
DEL000105,SP00200,WH04,Site_D,23.477724,86.811507,2023-03-07,2023-03-09,2023-03-11,10,Air,7673.86,Delivered,637.17
DEL000106,SP00165,WH03,Site_E,14.455051,78.429364,2023-03-07,2023-03-09,2023-03-10,5,Air,8633.55,Delivered,785.55
DEL000107,SP00126,WH02,Site_C,27.621588,75.820392,2023-03-07,2023-03-09,2023-03-09,2,Air,1974.65,Delivered,162.36
DEL000108,SP00197,WH05,Site_E,19.612438,75.505115,2023-03-07,2023-03-09,2023-03-10,7,Air,8183.62,Delivered,737.81
DEL000109,SP00137,WH02,Site_C,30.297071,77.041228,2023-03-08,2023-03-12,2023-03-13,5,Road,5927.21,Delivered,700.72
DEL000110,SP00112,WH05,Site_B,19.344837,75.550902,2023-03-10,2023-03-13,2023-03-16,6,Road,1429.56,Delivered,167.51
DEL000111,SP00133,WH02,Site_B,28.029439,76.968921,2023-03-11,2023-03-16,2023-03-15,5,Road,2294.59,Delivered,308.97
DEL000112,SP00012,WH04,Site_B,23.175993,86.917174,2023-03-11,2023-03-13,2023-03-14,4,Air,2342.23,Delivered,211.45
DEL000113,SP00172,WH05,Site_B,19.037828,73.006631,2023-03-11,2023-03-13,2023-03-12,3,Air,4127.5,Delivered,381.97
DEL000114,SP00078,WH05,Site_B,18.12288,74.617521,2023-03-11,2023-03-15,2023-03-14,2,Road,4321.4,Delivered,511.71
DEL000115,SP00026,WH04,Site_C,22.37105,89.690708,2023-03-11,2023-03-13,2023-03-15,5,Air,7700.33,Delivered,639.38
DEL000116,SP00126,WH03,Site_A,13.039485,78.31421,2023-03-12,2023-03-13,2023-03-16,1,Express,11937.67,Delivered,734.01
DEL000117,SP00111,WH01,Site_D,19.524557,71.799265,2023-03-12,2023-03-14,2023-03-16,7,Air,7386.79,Delivered,573.48
DEL000118,SP00033,WH04,Site_D,21.271139,87.877268,2023-03-12,2023-03-14,2023-03-17,5,Air,6728.43,Delivered,524.58
DEL000119,SP00119,WH01,Site_A,17.356281,74.800679,2023-03-12,2023-03-13,2023-03-15,7,Express,1168.35,Delivered,81.17
DEL000120,SP00098,WH04,Site_E,21.883181,87.392027,2023-03-12,2023-03-13,2023-03-14,5,Express,10562.73,Delivered,672.84
DEL000121,SP00189,WH01,Site_A,20.862349,71.85817,2023-03-14,2023-03-15,2023-03-17,6,Express,9321.06,Delivered,661.42
DEL000122,SP00122,WH03,Site_D,12.94506,81.25622,2023-03-14,2023-03-18,2023-03-21,4,Road,1553.06,Delivered,208.92
DEL000123,SP00134,WH04,Site_E,23.795895,89.433942,2023-03-14,2023-03-19,2023-03-20,5,Road,2737.51,Delivered,369.69
DEL000124,SP00049,WH04,Site_C,23.646518,89.445676,2023-03-14,2023-03-16,2023-03-18,6,Air,3288.88,Delivered,267.23
DEL000125,SP00078,WH05,Site_D,16.632056,74.429502,2023-03-16,2023-03-17,2023-03-17,7,Express,9952.08,Delivered,687.34
DEL000126,SP00192,WH02,Site_B,30.664363,75.791304,2023-03-19,2023-03-20,2023-03-20,5,Express,12438.88,Delivered,783.88
DEL000127,SP00023,WH05,Site_B,19.413376,72.730153,2023-03-19,2023-03-21,2023-03-24,3,Air,4312.58,Delivered,340.7
DEL000128,SP00019,WH04,Site_E,20.593789,89.512796,2023-03-26,2023-03-27,2023-03-30,1,Express,2986.63,Delivered,215.81
DEL000129,SP00104,WH02,Site_C,29.942002,76.969404,2023-03-26,2023-04-02,2023-04-01,8,Road,2770.21,Delivered,347.54
DEL000130,SP00013,WH02,Site_D,27.1649,75.418443,2023-03-27,2023-04-03,2023-04-02,3,Road,4610.25,Delivered,611.52
DEL000131,SP00159,WH04,Site_C,21.545997,87.457206,2023-03-27,2023-03-29,2023-03-28,9,Air,5497.94,Delivered,461.61
DEL000132,SP00072,WH05,Site_D,20.198215,73.208213,2023-03-27,2023-03-28,2023-03-27,4,Express,7816.42,Delivered,482.64
DEL000133,SP00126,WH03,Site_C,12.559196,80.027386,2023-03-28,2023-04-01,2023-03-31,2,Road,4406.09,Delivered,606.77
DEL000134,SP00122,WH05,Site_C,18.74705,72.22661,2023-03-28,2023-03-29,2023-04-01,5,Express,1031.35,Delivered,72.82
DEL000135,SP00062,WH02,Site_C,27.260665,77.054987,2023-03-28,2023-03-31,2023-04-02,7,Road,1246.16,Delivered,153.74
DEL000136,SP00027,WH05,Site_D,17.275187,71.890783,2023-03-29,2023-03-30,2023-03-30,4,Express,8553.66,Delivered,524.68
DEL000137,SP00010,WH03,Site_A,14.32211,79.939426,2023-03-29,2023-03-31,2023-03-30,5,Air,2503.24,Delivered,219.75
DEL000138,SP00025,WH04,Site_D,20.81822,87.722721,2023-03-29,2023-03-30,2023-04-02,2,Express,9953.75,Delivered,694.66
DEL000139,SP00011,WH05,Site_B,19.922521,75.71584,2023-03-29,2023-03-31,2023-04-01,10,Air,4236.27,Delivered,373.91
DEL000140,SP00028,WH01,Site_D,20.010811,74.212615,2023-04-04,2023-04-05,2023-04-04,8,Express,8581.21,Delivered,595.86
DEL000141,SP00026,WH05,Site_C,17.057856,74.017559,2023-04-04,2023-04-05,2023-04-06,1,Express,7229.75,Delivered,496.3
DEL000142,SP00024,WH01,Site_B,18.0605,74.039672,2023-04-05,2023-04-07,2023-04-08,9,Air,3525.66,Delivered,269.61
DEL000143,SP00113,WH01,Site_D,20.280509,71.52544,2023-04-05,2023-04-07,2023-04-10,10,Air,3384.05,Delivered,278.89
DEL000144,SP00061,WH03,Site_C,13.2555,79.019242,2023-04-05,2023-04-06,2023-04-07,5,Express,8802.11,Delivered,648.21
DEL000145,SP00039,WH02,Site_C,30.455129,75.708013,2023-04-05,2023-04-06,2023-04-05,10,Express,1011.95,Delivered,66.0
DEL000146,SP00056,WH05,Site_A,18.627384,75.057538,2023-04-06,2023-04-08,2023-04-11,6,Air,3898.68,Delivered,328.82
DEL000147,SP00040,WH02,Site_E,28.889672,76.639848,2023-04-06,2023-04-07,2023-04-09,3,Express,2343.75,Delivered,146.04
DEL000148,SP00107,WH02,Site_B,27.651758,76.456115,2023-04-06,2023-04-09,2023-04-08,6,Road,1935.46,Delivered,230.93
DEL000149,SP00072,WH03,Site_B,13.462085,81.713318,2023-04-06,2023-04-11,2023-04-13,8,Road,1602.6,Delivered,187.48
DEL000150,SP00095,WH04,Site_A,21.275444,87.799088,2023-04-07,2023-04-14,2023-04-16,2,Road,2142.08,Delivered,283.59
DEL000151,SP00187,WH01,Site_B,20.028359,71.34559,2023-04-07,2023-04-10,2023-04-12,4,Road,2986.47,Delivered,383.68
DEL000152,SP00024,WH03,Site_C,14.411928,80.798614,2023-04-08,2023-04-10,2023-04-09,7,Air,1746.19,Delivered,143.25
DEL000153,SP00193,WH02,Site_D,27.585213,77.084388,2023-04-08,2023-04-10,2023-04-09,2,Air,5231.28,Delivered,460.73
DEL000154,SP00190,WH04,Site_E,22.910517,90.015856,2023-04-11,2023-04-12,2023-04-13,3,Express,10658.96,Delivered,735.49
DEL000155,SP00076,WH03,Site_B,13.969038,80.206338,2023-04-11,2023-04-16,2023-04-16,2,Road,4008.93,Delivered,508.18
DEL000156,SP00069,WH03,Site_E,11.083489,80.668559,2023-04-11,2023-04-18,2023-04-20,8,Road,1261.75,Delivered,155.9
DEL000157,SP00140,WH05,Site_D,19.186968,73.745165,2023-04-11,2023-04-16,2023-04-16,8,Road,2521.39,Delivered,297.89
DEL000158,SP00161,WH01,Site_D,19.848,72.636038,2023-04-11,2023-04-16,2023-04-15,7,Road,6204.34,Delivered,757.96
DEL000159,SP00127,WH05,Site_C,18.706491,75.719934,2023-04-12,2023-04-13,2023-04-16,10,Express,9709.28,Delivered,603.67
DEL000160,SP00163,WH02,Site_A,27.018985,76.245038,2023-04-12,2023-04-14,2023-04-14,2,Air,5272.22,Delivered,478.89
DEL000161,SP00007,WH02,Site_A,27.952804,75.216441,2023-04-13,2023-04-15,2023-04-15,9,Air,3707.11,Delivered,340.13
DEL000162,SP00037,WH03,Site_B,13.855455,81.410538,2023-04-13,2023-04-14,2023-04-16,3,Express,8328.62,Delivered,586.82
DEL000163,SP00092,WH01,Site_E,20.034813,73.077156,2023-04-13,2023-04-15,2023-04-15,2,Air,8280.95,Delivered,700.23
DEL000164,SP00132,WH05,Site_B,18.116308,72.65378,2023-04-13,2023-04-15,2023-04-17,10,Air,8682.13,Delivered,721.27
DEL000165,SP00107,WH02,Site_C,27.018237,77.783137,2023-04-13,2023-04-15,2023-04-16,5,Air,5641.25,Delivered,433.38
DEL000166,SP00045,WH05,Site_D,19.103326,74.986956,2023-04-14,2023-04-16,2023-04-18,8,Air,8600.76,Delivered,661.16
DEL000167,SP00046,WH04,Site_E,23.859917,89.356994,2023-04-15,2023-04-17,2023-04-16,4,Air,7100.62,Delivered,643.58
DEL000168,SP00162,WH02,Site_B,27.50666,75.802585,2023-04-15,2023-04-19,2023-04-21,1,Road,2514.19,Delivered,325.17
DEL000169,SP00189,WH02,Site_A,28.116849,77.852505,2023-04-15,2023-04-16,2023-04-18,8,Express,10892.96,Delivered,660.22
DEL000170,SP00035,WH01,Site_E,18.901934,74.831727,2023-04-16,2023-04-19,2023-04-21,6,Road,2680.93,Delivered,370.76
DEL000171,SP00175,WH04,Site_E,23.419946,88.070049,2023-04-16,2023-04-18,2023-04-20,10,Air,8972.23,Delivered,761.43
DEL000172,SP00069,WH03,Site_D,14.520756,81.211695,2023-04-16,2023-04-18,2023-04-19,5,Air,1956.86,Delivered,151.96
DEL000173,SP00070,WH05,Site_E,17.608489,74.554185,2023-04-18,2023-04-19,2023-04-19,7,Express,10217.12,Delivered,678.38
DEL000174,SP00014,WH04,Site_A,23.947751,87.637311,2023-04-18,2023-04-19,2023-04-21,1,Express,8659.47,Delivered,640.68
DEL000175,SP00193,WH01,Site_E,20.682701,72.830778,2023-04-19,2023-04-23,2023-04-26,2,Road,2775.23,Delivered,340.61
DEL000176,SP00056,WH03,Site_E,13.79071,80.796319,2023-04-19,2023-04-20,2023-04-19,2,Express,2385.16,Delivered,158.82
DEL000177,SP00197,WH04,Site_C,22.709743,89.864894,2023-04-21,2023-04-22,2023-04-24,1,Express,2019.58,Delivered,146.43
DEL000178,SP00094,WH05,Site_D,18.204332,71.888557,2023-04-23,2023-04-25,2023-04-28,8,Air,5393.87,Delivered,433.56
DEL000179,SP00161,WH03,Site_A,14.0803,78.775263,2023-04-23,2023-04-25,2023-04-28,6,Air,1648.29,Delivered,148.38
DEL000180,SP00170,WH05,Site_D,18.979092,72.528921,2023-04-23,2023-04-24,2023-04-26,6,Express,2072.7,Delivered,130.52
DEL000181,SP00200,WH02,Site_E,27.014885,75.436284,2023-04-24,2023-04-30,2023-05-01,4,Road,3771.73,Delivered,510.72
DEL000182,SP00011,WH01,Site_B,17.626493,74.763338,2023-04-24,2023-04-26,2023-04-28,6,Air,7064.99,Delivered,607.87
DEL000183,SP00040,WH04,Site_B,24.382407,88.056193,2023-04-24,2023-04-27,2023-04-30,6,Road,2586.52,Delivered,327.42
DEL000184,SP00004,WH05,Site_A,19.024567,73.206946,2023-04-24,2023-04-26,2023-04-29,8,Air,3782.63,Delivered,337.53
DEL000185,SP00193,WH04,Site_B,22.711807,87.141071,2023-04-25,2023-04-27,2023-04-26,5,Air,1986.68,Delivered,179.12
DEL000186,SP00024,WH04,Site_C,20.66657,87.170642,2023-04-25,2023-04-27,2023-04-29,10,Air,4149.21,Delivered,351.69
DEL000187,SP00005,WH04,Site_D,24.417415,88.127813,2023-04-25,2023-04-26,2023-04-27,6,Express,5540.47,Delivered,384.39
DEL000188,SP00056,WH02,Site_E,28.765228,78.657906,2023-04-26,2023-04-30,2023-05-03,3,Road,5862.33,Delivered,795.52
DEL000189,SP00114,WH03,Site_C,14.65985,81.892685,2023-04-26,2023-05-02,2023-05-04,1,Road,3737.38,Delivered,432.58
DEL000190,SP00103,WH02,Site_A,28.065866,75.93449,2023-04-27,2023-05-03,2023-05-04,9,Road,5188.89,Delivered,623.11
DEL000191,SP00067,WH04,Site_B,21.865466,88.036392,2023-04-27,2023-04-29,2023-05-01,9,Air,5653.02,Delivered,471.99
DEL000192,SP00094,WH03,Site_E,11.395551,79.502393,2023-04-28,2023-04-30,2023-04-30,4,Air,1989.35,Delivered,174.01
DEL000193,SP00072,WH05,Site_E,16.622445,73.331277,2023-04-28,2023-05-02,2023-05-05,8,Road,3102.91,Delivered,394.04
DEL000194,SP00152,WH04,Site_D,22.039338,89.421634,2023-04-28,2023-04-30,2023-04-29,8,Air,9384.17,Delivered,761.93
DEL000195,SP00015,WH02,Site_D,30.271968,76.034886,2023-04-28,2023-05-04,2023-05-06,5,Road,6037.11,Delivered,784.22
DEL000196,SP00187,WH01,Site_E,17.887891,72.754181,2023-04-29,2023-05-01,2023-04-30,3,Air,1863.17,Delivered,141.5
DEL000197,SP00097,WH05,Site_E,20.128828,72.728043,2023-04-29,2023-05-04,2023-05-03,4,Road,5708.29,Delivered,737.84
