defect_id,defect_date,equipment_id,equipment_type,defect_type,severity,root_cause_category,root_cause,rework_cost,rework_hours,detected_at,status
DEF000103,2024-07-10,EQ0015,Bulldozer,Hydraulic Leak,Major,Environment,Humidity,7038.15,3.38,Customer,In Progress
DEF000104,2023-07-27,EQ0018,Grader,Hydraulic Leak,Major,Material,Wrong Specification,5118.25,11.65,Customer,In Progress
DEF000105,2022-12-31,EQ0004,Excavator,Hydraulic Leak,Major,Man,Fatigue,5300.68,3.19,Final Inspection,In Progress
DEF000106,2022-02-22,EQ0033,Grader,Weld Defect,Minor,Material,Material Contamination,1788.48,0.65,Customer,Open
DEF000107,2023-04-21,EQ0030,Loader,Weld Defect,Major,Man,Insufficient Training,5498.55,10.26,Final Inspection,Open
DEF000108,2023-03-03,EQ0033,Grader,Weld Defect,Minor,Environment,Humidity,260.82,1.21,Customer,Closed
DEF000109,2023-01-09,EQ0035,Loader,Electrical Fault,Major,Measurement,Wrong Instrument,2990.54,7.2,Final Inspection,Closed
DEF000110,2024-10-01,EQ0022,Excavator,Weld Defect,Minor,Method,Process Not Followed,1442.65,3.78,Customer,Closed
DEF000111,2023-08-23,EQ0034,Bulldozer,Electrical Fault,Critical,Measurement,Calibration Issue,5127.31,19.72,Customer,Open
DEF000112,2024-01-26,EQ0001,Grader,Paint Finish,Minor,Machine,Equipment Malfunction,325.27,1.26,Customer,Open
DEF000113,2022-10-01,EQ0043,Excavator,Weld Defect,Major,Environment,Temperature Variation,2401.27,3.43,Customer,In Progress
DEF000114,2022-07-09,EQ0047,Grader,Weld Defect,Minor,Method,Process Not Followed,1793.87,2.32,Final Inspection,Open
DEF000115,2023-02-22,EQ0026,Grader,Electrical Fault,Major,Method,Process Not Followed,1169.58,3.65,Customer,Closed
DEF000116,2022-06-28,EQ0014,Bulldozer,Electrical Fault,Major,Method,Process Not Followed,2264.66,5.5,Final Inspection,Closed
DEF000117,2024-01-14,EQ0024,Dump Truck,Hydraulic Leak,Major,Measurement,Gauge Error,1949.67,3.55,Final Inspection,Open
DEF000118,2022-07-04,EQ0004,Excavator,Hydraulic Leak,Minor,Environment,Vibration,1405.61,2.09,In-Process,Closed
DEF000119,2022-07-29,EQ0014,Bulldozer,Paint Finish,Minor,Man,Fatigue,526.97,2.04,Final Inspection,Open
DEF000120,2022-05-10,EQ0039,Bulldozer,Hydraulic Leak,Major,Machine,Equipment Malfunction,4100.29,9.17,Customer,Closed
DEF000121,2023-01-17,EQ0011,Bulldozer,Assembly Error,Minor,Measurement,Calibration Issue,786.48,1.1,Customer,Open
DEF000122,2024-04-23,EQ0008,Excavator,Bolt Torque,Minor,Environment,Vibration,1519.05,3.3,In-Process,Closed
DEF000123,2023-09-13,EQ0018,Grader,Weld Defect,Minor,Environment,Humidity,625.62,1.08,Customer,Open
DEF000124,2023-02-21,EQ0047,Grader,Paint Finish,Minor,Environment,Vibration,680.2,0.93,Final Inspection,Closed
DEF000125,2024-10-06,EQ0011,Bulldozer,Weld Defect,Minor,Measurement,Wrong Instrument,721.72,3.8,Final Inspection,In Progress
DEF000126,2024-10-17,EQ0022,Excavator,Electrical Fault,Minor,Measurement,Wrong Instrument,524.83,2.06,In-Process,Open
DEF000127,2022-12-24,EQ0004,Excavator,Paint Finish,Major,Measurement,Wrong Instrument,3317.77,8.67,Customer,Closed
DEF000128,2022-08-19,EQ0032,Grader,Weld Defect,Minor,Measurement,Calibration Issue,1671.5,0.98,In-Process,Open
DEF000129,2022-11-02,EQ0039,Bulldozer,Weld Defect,Minor,Material,Material Contamination,1949.75,0.97,Customer,Closed
DEF000130,2022-04-22,EQ0013,Grader,Hydraulic Leak,Major,Measurement,Wrong Instrument,7183.6,4.65,Customer,Closed
DEF000131,2024-08-11,EQ0017,Loader,Hydraulic Leak,Minor,Machine,Equipment Malfunction,1224.06,1.72,Customer,Closed
DEF000132,2024-02-02,EQ0046,Excavator,Electrical Fault,Major,Man,Operator Error,2657.57,7.35,In-Process,Open
DEF000133,2023-07-24,EQ0046,Excavator,Seal Failure,Major,Measurement,Calibration Issue,3714.96,2.82,Final Inspection,Open
DEF000134,2024-07-31,EQ0004,Excavator,Weld Defect,Minor,Environment,Vibration,493.41,1.24,In-Process,Open
DEF000135,2022-11-02,EQ0048,Bulldozer,Electrical Fault,Major,Environment,Humidity,7488.03,11.42,Customer,Open
DEF000136,2022-07-09,EQ0047,Grader,Paint Finish,Minor,Machine,Tool Wear,1376.76,3.07,Customer,Open
DEF000137,2022-01-11,EQ0003,Excavator,Hydraulic Leak,Minor,Method,Incorrect Procedure,348.77,2.9,Customer,Open
DEF000138,2022-10-25,EQ0004,Excavator,Paint Finish,Minor,Machine,Tool Wear,1517.16,0.9,Customer,Closed
DEF000139,2024-07-31,EQ0020,Crane,Paint Finish,Minor,Environment,Vibration,451.34,0.9,In-Process,Open
DEF000140,2022-08-19,EQ0004,Excavator,Paint Finish,Major,Measurement,Calibration Issue,7393.0,2.42,In-Process,Closed
DEF000141,2022-10-06,EQ0009,Dump Truck,Dimensional Variance,Minor,Machine,Tool Wear,1865.96,3.16,Customer,Closed
DEF000142,2023-03-15,EQ0042,Bulldozer,Weld Defect,Minor,Measurement,Gauge Error,976.61,1.68,Customer,Open
DEF000143,2024-07-21,EQ0041,Dump Truck,Electrical Fault,Minor,Machine,Calibration Drift,742.64,2.32,In-Process,Open
DEF000144,2022-07-04,EQ0007,Crane,Paint Finish,Minor,Machine,Calibration Drift,1429.48,2.69,In-Process,Closed
DEF000145,2023-10-31,EQ0029,Bulldozer,Seal Failure,Major,Measurement,Gauge Error,3006.99,3.29,Customer,In Progress
DEF000146,2023-12-18,EQ0021,Excavator,Dimensional Variance,Minor,Environment,Temperature Variation,318.83,3.1,In-Process,Closed
DEF000147,2023-12-09,EQ0004,Excavator,Weld Defect,Minor,Man,Operator Error,1093.8,0.56,Final Inspection,Open
DEF000148,2022-10-18,EQ0012,Dump Truck,Paint Finish,Minor,Material,Material Contamination,846.23,1.64,Final Inspection,Open
DEF000149,2023-03-11,EQ0035,Loader,Surface Scratch,Major,Machine,Tool Wear,1524.64,9.43,In-Process,Closed
DEF000150,2022-04-21,EQ0010,Excavator,Paint Finish,Minor,Method,Process Not Followed,491.52,1.31,In-Process,Open
DEF000151,2022-05-06,EQ0018,Grader,Paint Finish,Minor,Measurement,Gauge Error,353.67,1.99,Final Inspection,Open
DEF000152,2022-09-24,EQ0041,Dump Truck,Weld Defect,Major,Material,Material Contamination,5550.66,11.01,Final Inspection,Open
DEF000153,2022-01-16,EQ0026,Grader,Weld Defect,Minor,Man,Operator Error,713.82,1.37,Customer,In Progress
DEF000154,2024-04-10,EQ0019,Loader,Assembly Error,Minor,Method,Process Not Followed,1583.14,2.08,Customer,Open
DEF000155,2024-01-30,EQ0027,Dump Truck,Paint Finish,Minor,Method,Incorrect Procedure,1996.47,1.8,In-Process,In Progress
DEF000156,2024-09-09,EQ0034,Bulldozer,Surface Scratch,Major,Man,Operator Error,6670.61,6.62,In-Process,Closed
DEF000157,2022-05-02,EQ0031,Loader,Dimensional Variance,Minor,Man,Fatigue,1125.53,0.64,Final Inspection,Closed
DEF000158,2023-04-16,EQ0037,Dump Truck,Weld Defect,Minor,Machine,Calibration Drift,1574.2,0.81,Customer,Open
DEF000159,2022-01-27,EQ0024,Dump Truck,Hydraulic Leak,Minor,Machine,Equipment Malfunction,1406.35,2.07,In-Process,Closed
DEF000160,2022-08-10,EQ0023,Loader,Seal Failure,Minor,Man,Insufficient Training,1034.22,1.18,Final Inspection,Open
DEF000161,2023-05-20,EQ0048,Bulldozer,Weld Defect,Minor,Material,Material Contamination,797.85,3.89,Customer,In Progress
DEF000162,2024-10-04,EQ0029,Bulldozer,Paint Finish,Minor,Man,Operator Error,514.97,2.96,Customer,Closed
DEF000163,2023-01-08,EQ0018,Grader,Paint Finish,Minor,Environment,Humidity,1417.46,2.06,Customer,In Progress
DEF000164,2024-10-13,EQ0018,Grader,Weld Defect,Major,Environment,Temperature Variation,1038.27,3.99,Customer,Closed
DEF000165,2022-11-17,EQ0029,Bulldozer,Surface Scratch,Minor,Method,Process Not Followed,991.06,1.39,Final Inspection,Open
DEF000166,2022-06-11,EQ0011,Bulldozer,Paint Finish,Major,Method,Incorrect Procedure,2683.83,3.38,In-Process,Open
DEF000167,2023-06-29,EQ0017,Loader,Paint Finish,Minor,Measurement,Gauge Error,759.08,1.66,In-Process,Open
DEF000168,2022-04-14,EQ0047,Grader,Paint Finish,Minor,Man,Operator Error,1041.25,3.7,Customer,Closed
DEF000169,2023-06-22,EQ0011,Bulldozer,Hydraulic Leak,Minor,Environment,Vibration,1894.66,0.74,Customer,Closed
DEF000170,2023-07-07,EQ0049,Excavator,Hydraulic Leak,Major,Material,Substandard Material,5673.97,9.08,In-Process,In Progress
DEF000171,2024-10-24,EQ0026,Grader,Weld Defect,Minor,Method,Process Not Followed,1363.85,2.59,Customer,Closed
DEF000172,2024-10-06,EQ0035,Loader,Electrical Fault,Minor,Environment,Temperature Variation,557.59,2.57,Final Inspection,Closed
DEF000173,2023-08-23,EQ0030,Loader,Weld Defect,Minor,Method,Process Not Followed,1919.81,1.02,In-Process,Closed
DEF000174,2024-09-09,EQ0012,Dump Truck,Hydraulic Leak,Major,Method,Incorrect Procedure,6816.42,9.62,In-Process,Closed
DEF000175,2024-11-21,EQ0016,Dump Truck,Electrical Fault,Minor,Measurement,Wrong Instrument,1249.16,3.69,In-Process,Open
DEF000176,2023-06-25,EQ0014,Bulldozer,Weld Defect,Minor,Man,Operator Error,1978.48,2.81,Final Inspection,Open
DEF000177,2024-11-21,EQ0044,Loader,Hydraulic Leak,Minor,Method,Incorrect Procedure,1719.65,0.87,In-Process,Closed
DEF000178,2022-02-26,EQ0021,Excavator,Electrical Fault,Minor,Measurement,Gauge Error,667.08,3.47,In-Process,In Progress
DEF000179,2024-11-16,EQ0039,Bulldozer,Hydraulic Leak,Minor,Machine,Tool Wear,1604.07,2.07,In-Process,Closed
DEF000180,2022-02-15,EQ0043,Excavator,Dimensional Variance,Minor,Environment,Vibration,1326.73,3.88,In-Process,Open
DEF000181,2024-03-28,EQ0014,Bulldozer,Bolt Torque,Minor,Method,Process Not Followed,448.83,3.15,Customer,Closed
DEF000182,2023-04-23,EQ0032,Grader,Hydraulic Leak,Major,Man,Fatigue,4547.94,6.38,In-Process,Open
DEF000183,2022-02-22,EQ0018,Grader,Paint Finish,Critical,Man,Operator Error,14486.15,23.14,In-Process,Closed
DEF000184,2022-06-24,EQ0029,Bulldozer,Paint Finish,Minor,Machine,Equipment Malfunction,1576.3,2.84,Final Inspection,Closed
DEF000185,2023-07-08,EQ0022,Excavator,Dimensional Variance,Minor,Machine,Calibration Drift,962.25,3.66,Customer,Closed
DEF000186,2024-09-04,EQ0046,Excavator,Electrical Fault,Critical,Environment,Temperature Variation,5862.69,19.35,Final Inspection,Open
DEF000187,2024-05-17,EQ0047,Grader,Weld Defect,Minor,Machine,Tool Wear,1089.84,2.43,Final Inspection,In Progress
DEF000188,2023-04-05,EQ0047,Grader,Paint Finish,Minor,Measurement,Calibration Issue,392.62,3.76,Customer,Closed
DEF000189,2024-03-26,EQ0005,Loader,Weld Defect,Minor,Environment,Vibration,1792.58,3.74,Final Inspection,Closed
DEF000190,2024-02-10,EQ0020,Crane,Paint Finish,Major,Man,Insufficient Training,2853.82,8.12,Final Inspection,Closed
DEF000191,2023-10-02,EQ0018,Grader,Weld Defect,Minor,Method,Incorrect Procedure,475.31,1.68,In-Process,In Progress
DEF000192,2023-05-13,EQ0009,Dump Truck,Surface Scratch,Minor,Measurement,Calibration Issue,1176.72,0.94,In-Process,In Progress
DEF000193,2024-12-30,EQ0008,Excavator,Paint Finish,Minor,Method,Incorrect Procedure,610.31,0.64,Final Inspection,Closed
DEF000194,2024-09-09,EQ0029,Bulldozer,Weld Defect,Minor,Man,Insufficient Training,1148.98,2.61,In-Process,Closed
DEF000195,2022-05-10,EQ0017,Loader,Weld Defect,Major,Environment,Temperature Variation,7990.98,3.13,Final Inspection,Closed
DEF000196,2022-12-01,EQ0034,Bulldozer,Calibration Error,Minor,Machine,Calibration Drift,1486.52,0.88,Customer,Closed
DEF000197,2022-01-01,EQ0048,Bulldozer,Paint Finish,Minor,Measurement,Calibration Issue,278.82,1.39,In-Process,Closed
DEF000198,2023-11-12,EQ0023,Loader,Dimensional Variance,Minor,Material,Material Contamination,1838.02,1.76,Final Inspection,Open
DEF000199,2023-06-21,EQ0023,Loader,Weld Defect,Major,Machine,Equipment Malfunction,3225.19,2.32,Final Inspection,In Progress
DEF000200,2022-02-27,EQ0017,Loader,Dimensional Variance,Minor,Environment,Humidity,1721.23,2.15,Customer,Open
DEF000201,2024-11-22,EQ0036,Bulldozer,Weld Defect,Major,Environment,Temperature Variation,4767.68,9.53,Customer,Closed
DEF000202,2022-01-06,EQ0027,Dump Truck,Bolt Torque,Minor,Man,Insufficient Training,1192.08,0.84,Final Inspection,Closed
DEF000203,2024-11-24,EQ0045,Crane,Surface Scratch,Major,Machine,Calibration Drift,2585.32,5.26,Customer,Closed
DEF000204,2023-06-27,EQ0012,Dump Truck,Hydraulic Leak,Minor,Machine,Equipment Malfunction,1169.13,3.32,Customer,Closed
DEF000205,2024-06-20,EQ0007,Crane,Paint Finish,Minor,Man,Insufficient Training,1221.0,2.91,Final Inspection,Closed
DEF000206,2023-06-19,EQ0009,Dump Truck,Seal Failure,Minor,Machine,Equipment Malfunction,288.74,0.93,Customer,Closed
DEF000207,2023-01-05,EQ0036,Bulldozer,Weld Defect,Minor,Environment,Humidity,1059.96,1.76,Customer,Open
DEF000208,2023-12-21,EQ0035,Loader,Weld Defect,Minor,Machine,Equipment Malfunction,960.47,3.05,Customer,Closed
DEF000209,2024-03-19,EQ0030,Loader,Weld Defect,Minor,Machine,Tool Wear,939.42,2.98,Customer,Closed
DEF000210,2023-06-17,EQ0035,Loader,Paint Finish,Minor,Man,Fatigue,882.17,0.53,Customer,Closed
DEF000211,2023-09-09,EQ0037,Dump Truck,Surface Scratch,Major,Man,Insufficient Training,7798.92,4.5,Final Inspection,Closed
DEF000212,2023-07-16,EQ0035,Loader,Dimensional Variance,Minor,Method,Process Not Followed,1202.15,2.02,In-Process,In Progress
DEF000213,2024-06-11,EQ0021,Excavator,Paint Finish,Critical,Method,Process Not Followed,20810.06,17.94,Final Inspection,Closed
