inspection_id,inspection_date,equipment_id,equipment_name,equipment_type,metric_name,target_value,tolerance,xbar_value,r_value,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,in_control
SPC000021,2024-12-29,EQ0008,Excavator 8,Excavator,Weld Strength (MPa),450,30.0,448.94,7.72,450.14,449.76,451.98,448.56,444.26,True
SPC000022,2024-02-17,EQ0047,Grader 47,Grader,Paint Thickness (microns),120,10.0,117.27,22.91,116.35,115.62,113.75,108.86,131.77,False
SPC000023,2023-10-27,EQ0045,Crane 45,Crane,Hydraulic Pressure (PSI),3000,150.0,3011.76,181.76,2918.52,3027.59,3100.28,3035.88,2976.54,True
SPC000024,2022-03-07,EQ0018,Grader 18,Grader,Paint Thickness (microns),120,10.0,122.29,10.88,121.76,128.53,119.68,123.83,117.66,True
SPC000025,2022-05-16,EQ0013,Grader 13,Grader,Weld Strength (MPa),450,30.0,454.63,13.42,458.18,451.34,454.47,447.87,461.29,True
SPC000026,2023-10-07,EQ0021,Excavator 21,Excavator,Weld Strength (MPa),450,30.0,450.55,21.02,449.2,465.8,444.77,445.8,447.18,True
SPC000027,2024-03-21,EQ0028,Crane 28,Crane,Bolt Torque (Nm),200,15.0,199.94,11.26,207.1,197.15,195.84,202.36,197.24,True
SPC000028,2022-10-13,EQ0019,Loader 19,Loader,Weld Strength (MPa),450,30.0,455.07,6.93,456.33,452.4,453.06,459.33,454.22,True
SPC000029,2023-06-23,EQ0001,Grader 1,Grader,Alignment Deviation (mm),0,0.5,0.02,0.37,0.18,-0.17,0.02,-0.12,0.2,True
SPC000030,2024-03-28,EQ0010,Excavator 10,Excavator,Paint Thickness (microns),120,10.0,117.53,10.03,114.92,113.84,118.11,123.88,116.9,True
SPC000031,2022-10-11,EQ0030,Loader 30,Loader,Alignment Deviation (mm),0,0.5,0.12,0.43,-0.16,0.27,0.2,0.12,0.16,True
SPC000032,2022-04-07,EQ0029,Bulldozer 29,Bulldozer,Hydraulic Pressure (PSI),3000,150.0,3024.2,83.42,3042.3,2971.03,3054.45,3005.73,3047.51,True
SPC000033,2022-11-24,EQ0020,Crane 20,Crane,Bolt Torque (Nm),200,15.0,204.06,14.83,212.97,202.06,199.59,198.13,207.55,True
SPC000034,2024-02-28,EQ0048,Bulldozer 48,Bulldozer,Bolt Torque (Nm),200,15.0,197.97,18.68,208.2,192.22,198.64,189.52,201.27,True
SPC000035,2024-08-16,EQ0022,Excavator 22,Excavator,Alignment Deviation (mm),0,0.5,-0.04,0.2,-0.18,0.02,0.01,0.02,-0.07,True
SPC000036,2022-01-24,EQ0023,Loader 23,Loader,Hydraulic Pressure (PSI),3000,150.0,2976.03,112.95,2978.64,3039.5,2980.43,2926.55,2955.04,True
SPC000037,2023-07-01,EQ0027,Dump Truck 27,Dump Truck,Paint Thickness (microns),120,10.0,120.31,2.69,119.16,121.31,119.37,121.84,119.89,True
SPC000038,2024-06-09,EQ0043,Excavator 43,Excavator,Weld Strength (MPa),450,30.0,444.92,31.52,440.5,435.97,467.5,437.56,443.07,True
SPC000039,2023-06-24,EQ0043,Excavator 43,Excavator,Alignment Deviation (mm),0,0.5,-0.06,0.41,0.03,0.04,0.13,-0.22,-0.27,True
SPC000040,2024-11-05,EQ0040,Crane 40,Crane,Hydraulic Pressure (PSI),3000,150.0,3028.28,136.81,3079.05,3043.27,3038.2,3038.66,2942.24,True
SPC000041,2023-09-04,EQ0013,Grader 13,Grader,Alignment Deviation (mm),0,0.5,0.02,0.28,-0.09,0.16,0.12,0.02,-0.12,True
SPC000042,2022-11-10,EQ0048,Bulldozer 48,Bulldozer,Paint Thickness (microns),120,10.0,121.06,11.19,128.76,121.01,117.91,120.05,117.57,True
SPC000043,2024-12-22,EQ0049,Excavator 49,Excavator,Hydraulic Pressure (PSI),3000,150.0,2967.69,173.55,2940.35,2998.0,3058.41,2956.85,2884.87,True
SPC000044,2024-09-27,EQ0035,Loader 35,Loader,Hydraulic Pressure (PSI),3000,150.0,2977.8,127.38,2977.75,2932.64,2951.42,3060.02,2967.16,True
SPC000045,2024-01-14,EQ0026,Grader 26,Grader,Paint Thickness (microns),120,10.0,120.51,10.53,126.85,116.32,119.26,119.08,121.02,True
SPC000046,2023-05-09,EQ0024,Dump Truck 24,Dump Truck,Alignment Deviation (mm),0,0.5,-0.69,0.28,-0.55,-0.72,-0.83,-0.78,-0.59,False
SPC000047,2024-12-26,EQ0044,Loader 44,Loader,Weld Strength (MPa),450,30.0,456.44,29.02,472.14,447.04,451.26,443.12,468.61,True
SPC000048,2024-08-31,EQ0023,Loader 23,Loader,Alignment Deviation (mm),0,0.5,0.22,0.19,0.31,0.12,0.28,0.28,0.12,True
SPC000049,2024-12-16,EQ0011,Bulldozer 11,Bulldozer,Alignment Deviation (mm),0,0.5,-0.06,0.35,-0.22,-0.18,-0.03,0.02,0.13,True
SPC000050,2023-03-10,EQ0036,Bulldozer 36,Bulldozer,Alignment Deviation (mm),0,0.5,-0.1,0.54,-0.15,0.07,0.15,-0.39,-0.17,True
SPC000051,2023-02-16,EQ0029,Bulldozer 29,Bulldozer,Paint Thickness (microns),120,10.0,118.25,5.59,116.86,116.25,116.19,121.79,120.16,True
SPC000052,2024-02-04,EQ0017,Loader 17,Loader,Bolt Torque (Nm),200,15.0,198.91,11.08,204.78,201.47,199.63,193.71,194.95,True
SPC000053,2024-07-13,EQ0007,Crane 7,Crane,Hydraulic Pressure (PSI),3000,150.0,3001.4,133.52,3043.39,2981.1,2970.24,2939.38,3072.9,True
SPC000054,2022-05-12,EQ0029,Bulldozer 29,Bulldozer,Paint Thickness (microns),120,10.0,119.51,4.7,118.28,120.29,118.07,122.77,118.16,True
SPC000055,2023-04-17,EQ0010,Excavator 10,Excavator,Alignment Deviation (mm),0,0.5,0.11,0.3,0.24,-0.05,0.23,0.18,-0.06,True
SPC000056,2022-05-26,EQ0031,Loader 31,Loader,Hydraulic Pressure (PSI),3000,150.0,2971.06,66.78,2974.87,2927.46,2984.16,2974.58,2994.24,True
SPC000057,2022-03-06,EQ0049,Excavator 49,Excavator,Paint Thickness (microns),120,10.0,118.62,8.65,123.07,120.38,114.42,117.01,118.25,True
SPC000058,2023-05-03,EQ0033,Grader 33,Grader,Paint Thickness (microns),120,10.0,121.82,5.47,125.02,120.96,120.87,119.55,122.7,True
SPC000059,2023-03-15,EQ0044,Loader 44,Loader,Alignment Deviation (mm),0,0.5,-0.04,0.39,-0.02,-0.03,-0.02,0.12,-0.27,True
SPC000060,2024-08-26,EQ0024,Dump Truck 24,Dump Truck,Weld Strength (MPa),450,30.0,451.42,17.55,441.0,444.78,455.65,457.1,458.55,True
SPC000061,2024-04-13,EQ0035,Loader 35,Loader,Weld Strength (MPa),450,30.0,453.83,32.4,470.82,438.43,447.78,456.74,455.36,True
SPC000062,2024-06-01,EQ0045,Crane 45,Crane,Paint Thickness (microns),120,10.0,121.1,4.81,121.02,117.86,121.44,122.67,122.51,True
SPC000063,2024-08-14,EQ0045,Crane 45,Crane,Hydraulic Pressure (PSI),3000,150.0,2967.76,86.59,2922.96,2993.37,3003.94,3001.16,2917.35,True
SPC000064,2022-07-21,EQ0003,Excavator 3,Excavator,Hydraulic Pressure (PSI),3000,150.0,3004.2,103.08,3060.16,2957.08,3056.28,2986.35,2961.12,True
SPC000065,2023-11-26,EQ0008,Excavator 8,Excavator,Hydraulic Pressure (PSI),3000,150.0,2963.11,144.87,3000.03,3030.06,2927.81,2885.19,2972.47,True
SPC000066,2023-01-25,EQ0047,Grader 47,Grader,Alignment Deviation (mm),0,0.5,-0.22,0.4,-0.2,-0.25,-0.19,-0.04,-0.44,True
SPC000067,2024-05-14,EQ0018,Grader 18,Grader,Weld Strength (MPa),450,30.0,454.84,30.27,453.12,451.5,443.8,474.07,451.73,True
SPC000068,2023-05-27,EQ0036,Bulldozer 36,Bulldozer,Hydraulic Pressure (PSI),3000,150.0,3001.65,181.56,2977.86,2919.62,3009.24,3101.18,3000.34,True
SPC000069,2022-07-20,EQ0026,Grader 26,Grader,Hydraulic Pressure (PSI),3000,150.0,2999.34,131.79,2995.76,2937.83,2951.93,3041.54,3069.62,True
SPC000070,2022-01-31,EQ0034,Bulldozer 34,Bulldozer,Hydraulic Pressure (PSI),3000,150.0,3022.37,260.72,3096.94,3102.67,2841.95,3092.89,2977.42,False
SPC000071,2024-09-21,EQ0025,Excavator 25,Excavator,Bolt Torque (Nm),200,15.0,199.67,19.2,186.98,200.99,202.18,202.02,206.18,True
SPC000072,2024-04-01,EQ0017,Loader 17,Loader,Hydraulic Pressure (PSI),3000,150.0,3004.41,123.63,2946.45,2958.48,3026.13,3020.92,3070.08,True
SPC000073,2022-01-05,EQ0005,Loader 5,Loader,Bolt Torque (Nm),200,15.0,201.69,8.24,198.0,201.5,202.43,206.24,200.27,True
SPC000074,2024-07-20,EQ0049,Excavator 49,Excavator,Paint Thickness (microns),120,10.0,120.53,15.44,129.74,118.21,114.31,116.28,124.12,True
SPC000075,2024-09-23,EQ0027,Dump Truck 27,Dump Truck,Weld Strength (MPa),450,30.0,451.57,4.79,450.88,453.96,449.17,451.86,451.97,True
SPC000076,2023-03-22,EQ0049,Excavator 49,Excavator,Hydraulic Pressure (PSI),3000,150.0,3011.34,146.85,2959.36,2958.43,3034.88,2998.75,3105.28,True
SPC000077,2022-05-05,EQ0030,Loader 30,Loader,Paint Thickness (microns),120,10.0,120.2,8.43,120.51,122.55,114.27,120.95,122.7,True
SPC000078,2024-09-03,EQ0012,Dump Truck 12,Dump Truck,Alignment Deviation (mm),0,0.5,-0.13,0.29,-0.04,-0.17,-0.19,0.02,-0.28,True
SPC000079,2024-12-23,EQ0026,Grader 26,Grader,Weld Strength (MPa),450,30.0,449.87,36.85,442.9,437.41,447.83,446.92,474.27,True
SPC000080,2024-11-06,EQ0030,Loader 30,Loader,Hydraulic Pressure (PSI),3000,150.0,3031.62,156.25,3021.65,3101.43,3047.92,2945.18,3041.91,True
SPC000081,2022-05-21,EQ0027,Dump Truck 27,Dump Truck,Alignment Deviation (mm),0,0.5,-0.11,0.17,-0.11,-0.2,-0.1,-0.03,-0.1,True
SPC000082,2023-04-27,EQ0050,Loader 50,Loader,Bolt Torque (Nm),200,15.0,200.84,19.07,188.97,201.99,203.28,201.9,208.05,True
SPC000083,2023-05-20,EQ0011,Bulldozer 11,Bulldozer,Alignment Deviation (mm),0,0.5,0.11,0.44,0.29,0.02,0.32,-0.12,0.04,True
SPC000084,2022-06-17,EQ0030,Loader 30,Loader,Bolt Torque (Nm),200,15.0,201.54,11.91,198.09,198.24,207.82,195.91,207.66,True
SPC000085,2024-12-06,EQ0017,Loader 17,Loader,Paint Thickness (microns),120,10.0,112.55,5.04,115.51,113.18,111.71,111.87,110.47,False
SPC000086,2024-03-21,EQ0006,Dump Truck 6,Dump Truck,Weld Strength (MPa),450,30.0,450.36,32.13,455.58,454.94,431.54,446.04,463.67,True
SPC000087,2023-09-07,EQ0047,Grader 47,Grader,Bolt Torque (Nm),200,15.0,199.8,19.82,194.07,188.39,202.71,208.21,205.65,True
SPC000088,2022-05-29,EQ0011,Bulldozer 11,Bulldozer,Hydraulic Pressure (PSI),3000,150.0,2978.66,162.78,3034.08,3011.63,2989.01,2871.31,2987.28,True
SPC000089,2022-07-24,EQ0027,Dump Truck 27,Dump Truck,Hydraulic Pressure (PSI),3000,150.0,3056.08,64.0,3037.11,3049.94,3068.61,3030.36,3094.37,True
SPC000090,2024-11-02,EQ0005,Loader 5,Loader,Paint Thickness (microns),120,10.0,119.35,5.87,120.4,120.33,117.85,116.14,122.02,True
SPC000091,2023-12-16,EQ0030,Loader 30,Loader,Hydraulic Pressure (PSI),3000,150.0,2975.25,72.65,2976.58,2942.27,2945.23,3014.92,2997.24,True
SPC000092,2024-01-27,EQ0007,Crane 7,Crane,Paint Thickness (microns),120,10.0,121.47,10.6,121.62,122.59,124.57,113.98,124.58,True
SPC000093,2023-09-12,EQ0015,Bulldozer 15,Bulldozer,Alignment Deviation (mm),0,0.5,-0.15,0.54,-0.19,-0.14,-0.5,0.04,0.01,False
SPC000094,2023-09-06,EQ0009,Dump Truck 9,Dump Truck,Hydraulic Pressure (PSI),3000,150.0,3219.44,59.84,3223.27,3243.93,3221.27,3184.09,3224.63,False
SPC000095,2022-11-15,EQ0039,Bulldozer 39,Bulldozer,Paint Thickness (microns),120,10.0,122.11,8.31,126.63,121.17,125.42,118.32,119.0,True
SPC000096,2023-03-08,EQ0027,Dump Truck 27,Dump Truck,Paint Thickness (microns),120,10.0,121.25,3.82,120.91,119.34,123.16,122.84,119.98,True
SPC000097,2023-06-25,EQ0020,Crane 20,Crane,Alignment Deviation (mm),0,0.5,-0.01,0.45,0.26,0.07,0.01,-0.18,-0.19,True
SPC000098,2022-04-15,EQ0009,Dump Truck 9,Dump Truck,Hydraulic Pressure (PSI),3000,150.0,2985.36,106.33,2984.55,2936.79,2945.33,3043.12,3017.03,True
SPC000099,2023-07-21,EQ0012,Dump Truck 12,Dump Truck,Hydraulic Pressure (PSI),3000,150.0,2993.29,92.64,2952.38,2966.15,2961.37,3041.51,3045.02,True
SPC000100,2022-09-25,EQ0019,Loader 19,Loader,Paint Thickness (microns),120,10.0,120.29,8.08,121.5,124.19,118.6,116.11,121.07,True
SPC000101,2024-06-23,EQ0032,Grader 32,Grader,Alignment Deviation (mm),0,0.5,-0.07,0.47,-0.34,-0.0,0.05,0.13,-0.17,True
SPC000102,2022-01-20,EQ0021,Excavator 21,Excavator,Hydraulic Pressure (PSI),3000,150.0,2971.55,69.48,2946.85,2960.39,2980.05,2954.15,3016.33,True
SPC000103,2022-11-02,EQ0014,Bulldozer 14,Bulldozer,Alignment Deviation (mm),0,0.5,0.04,0.35,-0.18,0.02,0.17,0.12,0.08,True
SPC000104,2024-01-27,EQ0012,Dump Truck 12,Dump Truck,Alignment Deviation (mm),0,0.5,-0.08,0.18,-0.03,-0.09,-0.13,-0.17,0.01,True
SPC000105,2024-05-30,EQ0022,Excavator 22,Excavator,Weld Strength (MPa),450,30.0,446.49,28.88,455.96,439.83,440.17,433.81,462.69,True
SPC000106,2024-01-17,EQ0008,Excavator 8,Excavator,Hydraulic Pressure (PSI),3000,150.0,3037.32,52.81,3021.73,3063.46,3010.65,3062.06,3028.68,True
SPC000107,2023-03-07,EQ0050,Loader 50,Loader,Weld Strength (MPa),450,30.0,447.55,40.01,444.85,446.78,423.51,463.52,459.12,True
SPC000108,2023-12-26,EQ0045,Crane 45,Crane,Alignment Deviation (mm),0,0.5,-0.06,0.53,-0.29,-0.05,-0.13,-0.05,0.24,True
SPC000109,2024-04-12,EQ0031,Loader 31,Loader,Alignment Deviation (mm),0,0.5,-0.06,0.67,0.23,-0.19,-0.44,-0.09,0.19,True
SPC000110,2023-04-30,EQ0004,Excavator 4,Excavator,Weld Strength (MPa),450,30.0,440.1,71.34,410.27,429.6,481.61,441.68,437.35,False
SPC000111,2022-02-20,EQ0003,Excavator 3,Excavator,Weld Strength (MPa),450,30.0,454.51,37.83,473.04,435.21,462.59,461.46,440.27,True
SPC000112,2023-11-12,EQ0001,Grader 1,Grader,Bolt Torque (Nm),200,15.0,198.76,12.75,205.04,195.83,203.82,192.29,196.84,True
SPC000113,2023-05-24,EQ0011,Bulldozer 11,Bulldozer,Paint Thickness (microns),120,10.0,120.74,8.17,123.98,115.81,122.44,121.97,119.53,True
SPC000114,2022-08-10,EQ0025,Excavator 25,Excavator,Bolt Torque (Nm),200,15.0,200.59,9.74,201.69,204.55,198.12,203.8,194.81,True
SPC000115,2024-08-21,EQ0028,Crane 28,Crane,Weld Strength (MPa),450,30.0,450.72,30.76,461.14,430.55,461.31,449.33,451.29,True
SPC000116,2024-07-31,EQ0014,Bulldozer 14,Bulldozer,Paint Thickness (microns),120,10.0,118.64,6.41,116.85,119.97,120.99,120.83,114.58,True
SPC000117,2023-04-12,EQ0030,Loader 30,Loader,Weld Strength (MPa),450,30.0,448.19,12.9,454.85,445.32,441.95,450.85,447.97,True
SPC000118,2023-01-31,EQ0030,Loader 30,Loader,Bolt Torque (Nm),200,15.0,204.07,11.83,201.1,206.47,200.07,211.9,200.81,True
SPC000119,2022-05-23,EQ0005,Loader 5,Loader,Paint Thickness (microns),120,10.0,118.76,5.88,118.72,115.62,120.44,117.54,121.5,True
SPC000120,2024-11-09,EQ0029,Bulldozer 29,Bulldozer,Bolt Torque (Nm),200,15.0,198.71,12.07,203.54,198.8,191.65,203.72,195.84,True
SPC000121,2023-11-10,EQ0043,Excavator 43,Excavator,Hydraulic Pressure (PSI),3000,150.0,3032.07,97.15,2995.63,3027.42,3047.48,2997.03,3092.78,True
SPC000122,2023-06-19,EQ0048,Bulldozer 48,Bulldozer,Weld Strength (MPa),450,30.0,448.16,20.81,452.24,447.66,443.24,438.43,459.24,True
SPC000123,2023-06-28,EQ0035,Loader 35,Loader,Hydraulic Pressure (PSI),3000,150.0,3028.35,124.85,3025.31,3072.37,3028.41,2947.52,3068.13,True
SPC000124,2024-06-08,EQ0038,Loader 38,Loader,Paint Thickness (microns),120,10.0,122.11,7.25,125.47,119.07,125.41,122.39,118.22,True
SPC000125,2023-10-05,EQ0015,Bulldozer 15,Bulldozer,Bolt Torque (Nm),200,15.0,199.65,10.41,195.18,194.23,204.37,199.85,204.63,True
SPC000126,2024-11-13,EQ0021,Excavator 21,Excavator,Hydraulic Pressure (PSI),3000,150.0,3005.87,168.87,3110.21,2995.35,2987.71,2941.34,2994.76,True
SPC000127,2023-01-25,EQ0015,Bulldozer 15,Bulldozer,Paint Thickness (microns),120,10.0,116.78,2.91,117.45,116.45,115.23,118.13,116.65,True
SPC000128,2024-06-12,EQ0023,Loader 23,Loader,Hydraulic Pressure (PSI),3000,150.0,3007.37,152.37,2914.53,3012.81,3024.17,3066.9,3018.44,True
SPC000129,2023-02-08,EQ0008,Excavator 8,Excavator,Paint Thickness (microns),120,10.0,117.35,6.36,113.4,118.33,119.76,117.86,117.43,True
SPC000130,2023-11-08,EQ0026,Grader 26,Grader,Alignment Deviation (mm),0,0.5,-0.14,0.3,-0.21,-0.03,-0.2,-0.28,0.01,True
SPC000131,2022-09-13,EQ0028,Crane 28,Crane,Paint Thickness (microns),120,10.0,120.09,4.1,117.19,121.29,121.04,121.15,119.79,True
SPC000132,2024-04-16,EQ0042,Bulldozer 42,Bulldozer,Paint Thickness (microns),120,10.0,119.32,6.84,119.41,116.26,123.1,119.56,118.25,True
SPC000133,2023-08-29,EQ0033,Grader 33,Grader,Alignment Deviation (mm),0,0.5,-0.04,0.34,-0.25,-0.01,0.09,-0.06,0.04,True
SPC000134,2024-05-11,EQ0001,Grader 1,Grader,Bolt Torque (Nm),200,15.0,204.23,10.46,197.56,204.66,205.48,205.42,208.02,True
SPC000135,2022-12-23,EQ0014,Bulldozer 14,Bulldozer,Alignment Deviation (mm),0,0.5,0.01,0.46,-0.1,0.35,-0.09,0.01,-0.11,True
SPC000136,2024-04-11,EQ0046,Excavator 46,Excavator,Alignment Deviation (mm),0,0.5,-0.05,0.42,0.04,-0.29,-0.18,0.13,0.06,True
SPC000137,2023-09-15,EQ0007,Crane 7,Crane,Paint Thickness (microns),120,10.0,120.46,9.35,120.03,125.76,116.41,120.72,119.4,True
SPC000138,2023-10-22,EQ0018,Grader 18,Grader,Bolt Torque (Nm),200,15.0,199.43,8.39,202.66,201.92,195.98,194.27,202.33,True
SPC000139,2023-03-14,EQ0005,Loader 5,Loader,Alignment Deviation (mm),0,0.5,0.08,0.24,0.15,-0.0,-0.03,0.21,0.09,True
SPC000140,2022-12-14,EQ0003,Excavator 3,Excavator,Hydraulic Pressure (PSI),3000,150.0,2959.81,159.85,2982.38,3021.14,2861.29,2988.62,2945.62,True
SPC000141,2023-11-18,EQ0032,Grader 32,Grader,Hydraulic Pressure (PSI),3000,150.0,2984.02,86.28,2949.72,3018.01,2973.12,3032.77,2946.49,True
SPC000142,2023-04-27,EQ0015,Bulldozer 15,Bulldozer,Paint Thickness (microns),120,10.0,123.11,6.36,125.73,119.37,123.98,123.41,123.06,True
SPC000143,2023-02-12,EQ0001,Grader 1,Grader,Weld Strength (MPa),450,30.0,448.61,20.02,458.33,458.47,438.45,445.8,442.01,True
SPC000144,2023-05-17,EQ0047,Grader 47,Grader,Bolt Torque (Nm),200,15.0,196.21,11.13,190.1,198.42,195.29,201.23,195.99,True
SPC000145,2022-05-30,EQ0024,Dump Truck 24,Dump Truck,Bolt Torque (Nm),200,15.0,197.89,8.52,193.64,193.76,198.53,201.35,202.17,True
SPC000146,2023-02-03,EQ0004,Excavator 4,Excavator,Bolt Torque (Nm),200,15.0,198.78,20.73,197.46,189.83,210.56,196.05,199.99,True
SPC000147,2023-05-15,EQ0024,Dump Truck 24,Dump Truck,Weld Strength (MPa),450,30.0,451.39,19.96,452.51,441.88,461.84,444.1,456.61,True
SPC000148,2022-01-12,EQ0040,Crane 40,Crane,Hydraulic Pressure (PSI),3000,150.0,2962.87,47.76,2936.76,2963.34,2984.52,2955.77,2973.97,True
SPC000149,2023-03-25,EQ0004,Excavator 4,Excavator,Weld Strength (MPa),450,30.0,445.65,19.61,451.44,432.6,445.33,446.7,452.2,True
SPC000150,2024-11-26,EQ0038,Loader 38,Loader,Bolt Torque (Nm),200,15.0,198.68,6.69,195.02,197.29,201.7,198.26,201.1,True
SPC000151,2023-05-26,EQ0032,Grader 32,Grader,Hydraulic Pressure (PSI),3000,150.0,2992.16,127.6,3043.43,2915.83,2984.24,2988.09,3029.21,True
SPC000152,2024-08-09,EQ0029,Bulldozer 29,Bulldozer,Alignment Deviation (mm),0,0.5,-0.12,1.15,0.24,-0.46,-0.68,-0.18,0.47,False
SPC000153,2024-06-25,EQ0006,Dump Truck 6,Dump Truck,Alignment Deviation (mm),0,0.5,-0.0,0.77,0.04,0.1,0.32,-0.44,-0.03,True
SPC000154,2024-10-30,EQ0018,Grader 18,Grader,Bolt Torque (Nm),200,15.0,199.04,14.07,193.18,195.4,207.25,200.24,199.13,True
SPC000155,2024-07-02,EQ0043,Excavator 43,Excavator,Weld Strength (MPa),450,30.0,454.57,19.43,464.66,445.22,452.89,457.02,453.09,True
SPC000156,2024-08-30,EQ0030,Loader 30,Loader,Bolt Torque (Nm),200,15.0,200.0,8.54,196.46,202.67,195.42,203.96,201.47,True
SPC000157,2023-05-22,EQ0015,Bulldozer 15,Bulldozer,Paint Thickness (microns),120,10.0,119.76,10.71,118.54,114.58,117.43,122.97,125.29,True
SPC000158,2024-12-03,EQ0013,Grader 13,Grader,Bolt Torque (Nm),200,15.0,202.51,4.75,203.26,205.14,202.51,201.24,200.39,True
SPC000159,2023-07-17,EQ0002,Grader 2,Grader,Bolt Torque (Nm),200,15.0,200.54,12.13,202.18,204.22,201.96,202.27,192.09,True
SPC000160,2023-08-09,EQ0038,Loader 38,Loader,Weld Strength (MPa),450,30.0,452.72,20.06,450.5,438.52,457.61,458.58,458.36,True
SPC000161,2023-10-17,EQ0048,Bulldozer 48,Bulldozer,Alignment Deviation (mm),0,0.5,-0.11,0.69,-0.48,0.01,0.21,-0.15,-0.16,True
SPC000162,2022-11-05,EQ0044,Loader 44,Loader,Weld Strength (MPa),450,30.0,449.16,24.49,441.6,447.94,444.28,445.91,466.09,True
SPC000163,2022-11-09,EQ0028,Crane 28,Crane,Weld Strength (MPa),450,30.0,451.89,17.84,461.34,444.82,462.65,445.21,445.41,True
SPC000164,2024-04-14,EQ0009,Dump Truck 9,Dump Truck,Paint Thickness (microns),120,10.0,119.14,6.13,119.3,118.4,115.32,121.23,121.45,True
SPC000165,2024-05-01,EQ0021,Excavator 21,Excavator,Hydraulic Pressure (PSI),3000,150.0,3009.66,80.1,3054.21,3010.52,3009.92,2999.54,2974.11,True
SPC000166,2024-05-10,EQ0046,Excavator 46,Excavator,Bolt Torque (Nm),200,15.0,202.45,5.39,201.09,202.04,201.78,206.37,200.99,True
SPC000167,2022-02-10,EQ0035,Loader 35,Loader,Alignment Deviation (mm),0,0.5,0.01,0.29,-0.09,0.09,0.11,-0.18,0.11,True
SPC000168,2022-01-13,EQ0029,Bulldozer 29,Bulldozer,Paint Thickness (microns),120,10.0,117.65,6.26,119.5,117.14,114.75,121.02,115.82,True
