transaction_id,part_id,transaction_date,transaction_type,quantity,stock_after_transaction,warehouse_location,reference_doc
TXN000031,SP00193,2023-01-05,Issue,5,3,WH04,REF4546
TXN000032,SP00123,2023-01-05,Issue,4,53,WH03,REF1237
TXN000033,SP00137,2023-01-06,Issue,2,7,WH02,REF6362
TXN000034,SP00171,2023-01-06,Issue,2,3,WH05,REF3440
TXN000035,SP00017,2023-01-06,Receipt,5,29,WH04,REF1724
TXN000036,SP00084,2023-01-06,Issue,4,15,WH05,REF1550
TXN000037,SP00124,2023-01-06,Issue,4,38,WH04,REF2605
TXN000038,SP00055,2023-01-06,Issue,2,45,WH01,REF1203
TXN000039,SP00126,2023-01-06,Issue,4,6,WH02,REF3174
TXN000040,SP00169,2023-01-06,Issue,2,8,WH01,REF1260
TXN000041,SP00002,2023-01-06,Issue,3,9,WH02,REF8524
TXN000042,SP00095,2023-01-06,Receipt,5,23,WH04,REF8598
TXN000043,SP00046,2023-01-06,Receipt,17,20,WH02,REF7068
TXN000044,SP00060,2023-01-06,Issue,1,9,WH01,REF7305
TXN000045,SP00120,2023-01-06,Receipt,15,36,WH05,REF1535
TXN000046,SP00098,2023-01-06,Issue,3,28,WH05,REF9887
TXN000047,SP00008,2023-01-07,Receipt,7,24,WH05,REF6500
TXN000048,SP00093,2023-01-07,Receipt,6,43,WH05,REF6963
TXN000049,SP00075,2023-01-07,Receipt,8,36,WH04,REF6989
TXN000050,SP00062,2023-01-07,Issue,1,18,WH03,REF7003
TXN000051,SP00080,2023-01-07,Issue,5,4,WH01,REF4354
TXN000052,SP00108,2023-01-07,Issue,3,9,WH02,REF9841
TXN000053,SP00037,2023-01-07,Issue,4,24,WH05,REF4437
TXN000054,SP00174,2023-01-07,Receipt,12,45,WH03,REF6778
TXN000055,SP00023,2023-01-07,Receipt,18,25,WH03,REF1892
TXN000056,SP00078,2023-01-07,Issue,3,39,WH04,REF8966
TXN000057,SP00129,2023-01-07,Issue,1,7,WH04,REF9714
TXN000058,SP00113,2023-01-07,Issue,5,8,WH03,REF8405
TXN000059,SP00138,2023-01-08,Issue,1,3,WH02,REF8501
TXN000060,SP00025,2023-01-08,Issue,4,14,WH02,REF5724
TXN000061,SP00071,2023-01-08,Receipt,7,67,WH01,REF3699
TXN000062,SP00012,2023-01-08,Issue,2,31,WH04,REF3465
TXN000063,SP00160,2023-01-08,Receipt,5,11,WH03,REF7824
TXN000064,SP00028,2023-01-08,Receipt,9,30,WH04,REF6680
TXN000065,SP00120,2023-01-08,Issue,1,35,WH03,REF4097
TXN000066,SP00040,2023-01-08,Issue,2,14,WH05,REF6503
TXN000067,SP00169,2023-01-08,Issue,3,5,WH03,REF8965
TXN000068,SP00029,2023-01-08,Issue,5,23,WH05,REF8295
TXN000069,SP00065,2023-01-08,Issue,5,21,WH02,REF6021
TXN000070,SP00162,2023-01-08,Issue,3,5,WH02,REF8933
TXN000071,SP00153,2023-01-09,Receipt,6,22,WH02,REF6785
TXN000072,SP00197,2023-01-09,Issue,2,20,WH05,REF3634
TXN000073,SP00001,2023-01-09,Receipt,14,56,WH02,REF3873
TXN000074,SP00062,2023-01-09,Receipt,9,27,WH02,REF4897
TXN000075,SP00107,2023-01-09,Issue,3,15,WH05,REF3072
TXN000076,SP00136,2023-01-09,Issue,3,27,WH02,REF4361
TXN000077,SP00065,2023-01-09,Issue,1,20,WH03,REF6633
TXN000078,SP00073,2023-01-09,Issue,4,38,WH05,REF3663
TXN000079,SP00057,2023-01-10,Issue,1,68,WH04,REF9182
TXN000080,SP00127,2023-01-10,Receipt,19,31,WH03,REF3556
TXN000081,SP00154,2023-01-10,Issue,5,5,WH05,REF6427
TXN000082,SP00130,2023-01-10,Issue,3,21,WH04,REF5748
TXN000083,SP00101,2023-01-10,Receipt,9,67,WH05,REF8243
TXN000084,SP00185,2023-01-10,Issue,1,26,WH04,REF1656
TXN000085,SP00129,2023-01-10,Issue,5,2,WH01,REF6047
TXN000086,SP00105,2023-01-10,Issue,5,10,WH02,REF8306
TXN000087,SP00184,2023-01-10,Issue,3,25,WH01,REF4197
TXN000088,SP00155,2023-01-10,Issue,2,10,WH03,REF4206
TXN000089,SP00167,2023-01-10,Issue,5,10,WH04,REF2431
TXN000090,SP00058,2023-01-11,Issue,4,11,WH03,REF9381
TXN000091,SP00013,2023-01-11,Receipt,16,27,WH04,REF3423
TXN000092,SP00025,2023-01-11,Receipt,18,32,WH03,REF7326
TXN000093,SP00162,2023-01-11,Issue,3,2,WH03,REF6756
TXN000094,SP00133,2023-01-11,Issue,4,6,WH05,REF2435
TXN000095,SP00147,2023-01-11,Issue,4,11,WH04,REF8249
TXN000096,SP00128,2023-01-11,Issue,4,49,WH04,REF3286
TXN000097,SP00081,2023-01-11,Receipt,7,32,WH02,REF4404
TXN000098,SP00076,2023-01-11,Issue,5,3,WH03,REF2083
TXN000099,SP00041,2023-01-11,Receipt,17,31,WH01,REF1108
TXN000100,SP00083,2023-01-11,Issue,3,29,WH04,REF3865
TXN000101,SP00014,2023-01-12,Issue,5,14,WH02,REF4264
TXN000102,SP00049,2023-01-12,Issue,4,7,WH03,REF9037
TXN000103,SP00011,2023-01-12,Issue,3,25,WH05,REF5979
TXN000104,SP00070,2023-01-12,Issue,4,20,WH02,REF1439
TXN000105,SP00024,2023-01-12,Receipt,9,14,WH03,REF5917
TXN000106,SP00052,2023-01-12,Receipt,20,52,WH01,REF5713
TXN000107,SP00086,2023-01-12,Issue,4,11,WH02,REF1466
TXN000108,SP00088,2023-01-12,Issue,3,19,WH04,REF2093
TXN000109,SP00039,2023-01-12,Issue,3,18,WH05,REF8872
TXN000110,SP00071,2023-01-12,Issue,3,64,WH04,REF2959
TXN000111,SP00041,2023-01-12,Issue,5,26,WH01,REF5252
TXN000112,SP00006,2023-01-13,Issue,2,17,WH03,REF8553
TXN000113,SP00132,2023-01-13,Receipt,9,27,WH03,REF3675
TXN000114,SP00013,2023-01-13,Issue,3,24,WH04,REF6832
TXN000115,SP00129,2023-01-13,Issue,3,0,WH05,REF2258
TXN000116,SP00041,2023-01-13,Issue,2,24,WH01,REF3738
TXN000117,SP00199,2023-01-14,Issue,3,17,WH03,REF5447
TXN000118,SP00065,2023-01-14,Issue,3,17,WH01,REF9755
TXN000119,SP00151,2023-01-14,Issue,2,4,WH01,REF3243
TXN000120,SP00018,2023-01-14,Issue,3,14,WH04,REF7750
TXN000121,SP00164,2023-01-14,Issue,2,19,WH01,REF4569
TXN000122,SP00037,2023-01-14,Issue,2,22,WH02,REF9612
TXN000123,SP00089,2023-01-14,Receipt,8,11,WH04,REF8544
TXN000124,SP00082,2023-01-14,Receipt,8,11,WH02,REF1284
TXN000125,SP00079,2023-01-14,Issue,3,64,WH03,REF3277
TXN000126,SP00006,2023-01-14,Receipt,15,32,WH02,REF5991
TXN000127,SP00032,2023-01-14,Issue,1,8,WH02,REF3108
TXN000128,SP00165,2023-01-15,Issue,2,4,WH03,REF3053
TXN000129,SP00200,2023-01-15,Issue,1,13,WH04,REF2830
TXN000130,SP00009,2023-01-15,Issue,4,25,WH04,REF1696
TXN000131,SP00011,2023-01-15,Issue,1,24,WH05,REF1971
TXN000132,SP00172,2023-01-15,Issue,3,2,WH01,REF2085
TXN000133,SP00022,2023-01-15,Issue,1,8,WH01,REF3028
TXN000134,SP00199,2023-01-15,Receipt,11,28,WH05,REF4277
TXN000135,SP00088,2023-01-15,Issue,3,16,WH01,REF2487
TXN000136,SP00160,2023-01-15,Issue,3,8,WH05,REF6698
TXN000137,SP00096,2023-01-15,Issue,5,13,WH05,REF4962
TXN000138,SP00111,2023-01-15,Issue,1,7,WH01,REF1229
TXN000139,SP00086,2023-01-15,Issue,2,9,WH03,REF3814
TXN000140,SP00042,2023-01-15,Receipt,5,35,WH01,REF4506
TXN000141,SP00021,2023-01-15,Receipt,20,33,WH03,REF4033
TXN000142,SP00103,2023-01-16,Issue,1,11,WH02,REF6813
TXN000143,SP00091,2023-01-16,Receipt,18,67,WH02,REF9425
TXN000144,SP00096,2023-01-16,Issue,1,12,WH03,REF3025
TXN000145,SP00017,2023-01-16,Issue,5,24,WH02,REF9123
TXN000146,SP00090,2023-01-16,Receipt,14,17,WH05,REF1665
TXN000147,SP00101,2023-01-16,Issue,4,63,WH01,REF7304
TXN000148,SP00089,2023-01-16,Issue,5,6,WH03,REF8273
TXN000149,SP00038,2023-01-16,Issue,4,35,WH03,REF8011
TXN000150,SP00046,2023-01-16,Issue,1,19,WH04,REF7020
TXN000151,SP00014,2023-01-16,Issue,4,10,WH01,REF7494
TXN000152,SP00136,2023-01-17,Issue,1,26,WH01,REF3348
TXN000153,SP00167,2023-01-17,Issue,5,5,WH01,REF3764
TXN000154,SP00059,2023-01-17,Issue,2,8,WH03,REF4281
TXN000155,SP00157,2023-01-17,Issue,4,29,WH01,REF4815
TXN000156,SP00166,2023-01-17,Receipt,20,75,WH03,REF5472
TXN000157,SP00050,2023-01-17,Receipt,17,24,WH03,REF8795
TXN000158,SP00101,2023-01-17,Issue,4,59,WH04,REF9379
TXN000159,SP00046,2023-01-17,Issue,4,15,WH01,REF3001
TXN000160,SP00052,2023-01-17,Issue,4,48,WH02,REF3205
TXN000161,SP00127,2023-01-17,Issue,1,30,WH01,REF9161
TXN000162,SP00072,2023-01-18,Issue,2,53,WH04,REF6356
TXN000163,SP00179,2023-01-18,Issue,5,17,WH05,REF2578
TXN000164,SP00123,2023-01-18,Receipt,20,73,WH04,REF4308
TXN000165,SP00126,2023-01-18,Issue,4,2,WH04,REF9270
TXN000166,SP00117,2023-01-18,Issue,3,46,WH05,REF9955
TXN000167,SP00192,2023-01-18,Issue,1,7,WH04,REF2951
TXN000168,SP00158,2023-01-18,Issue,3,24,WH04,REF8250
TXN000169,SP00166,2023-01-18,Issue,1,74,WH02,REF5965
TXN000170,SP00041,2023-01-18,Receipt,10,34,WH04,REF8056
TXN000171,SP00096,2023-01-18,Issue,4,8,WH04,REF2792
TXN000172,SP00135,2023-01-18,Issue,4,19,WH05,REF9837
TXN000173,SP00077,2023-01-18,Issue,4,7,WH05,REF3560
TXN000174,SP00170,2023-01-18,Issue,4,76,WH03,REF9105
TXN000175,SP00073,2023-01-19,Receipt,16,54,WH03,REF6250
TXN000176,SP00052,2023-01-19,Issue,5,43,WH01,REF3100
TXN000177,SP00177,2023-01-19,Receipt,16,25,WH05,REF1440
TXN000178,SP00067,2023-01-19,Receipt,15,42,WH04,REF2594
TXN000179,SP00109,2023-01-19,Issue,3,6,WH04,REF6755
TXN000180,SP00008,2023-01-19,Issue,2,22,WH02,REF4844
TXN000181,SP00089,2023-01-19,Issue,5,1,WH01,REF2073
TXN000182,SP00046,2023-01-19,Receipt,8,23,WH03,REF3781
TXN000183,SP00124,2023-01-19,Issue,3,35,WH01,REF8551
TXN000184,SP00173,2023-01-19,Issue,4,2,WH05,REF9433
TXN000185,SP00161,2023-01-19,Receipt,13,32,WH01,REF8695
TXN000186,SP00131,2023-01-19,Issue,3,61,WH04,REF7394
TXN000187,SP00057,2023-01-20,Issue,4,64,WH01,REF4373
TXN000188,SP00092,2023-01-20,Issue,5,26,WH03,REF3730
TXN000189,SP00060,2023-01-20,Issue,3,6,WH04,REF4305
TXN000190,SP00061,2023-01-20,Issue,1,15,WH05,REF4507
TXN000191,SP00121,2023-01-20,Issue,1,7,WH03,REF7586
TXN000192,SP00015,2023-01-20,Receipt,7,17,WH05,REF2552
TXN000193,SP00079,2023-01-20,Issue,3,61,WH01,REF9700
TXN000194,SP00030,2023-01-20,Issue,2,29,WH03,REF2256
TXN000195,SP00049,2023-01-21,Receipt,14,21,WH04,REF9846
TXN000196,SP00198,2023-01-21,Issue,4,13,WH04,REF5116
TXN000197,SP00198,2023-01-21,Issue,4,9,WH05,REF3958
TXN000198,SP00074,2023-01-21,Receipt,10,28,WH05,REF9178
TXN000199,SP00066,2023-01-21,Issue,4,37,WH03,REF9728
TXN000200,SP00022,2023-01-21,Receipt,18,26,WH05,REF1981
TXN000201,SP00118,2023-01-21,Issue,3,5,WH04,REF3420
TXN000202,SP00020,2023-01-21,Issue,3,38,WH04,REF7721
TXN000203,SP00059,2023-01-21,Issue,1,7,WH02,REF7757
TXN000204,SP00181,2023-01-21,Issue,3,33,WH02,REF5201
TXN000205,SP00090,2023-01-21,Issue,2,15,WH04,REF4907
TXN000206,SP00022,2023-01-21,Issue,2,24,WH01,REF5023
TXN000207,SP00162,2023-01-21,Receipt,14,16,WH04,REF8952
TXN000208,SP00067,2023-01-22,Receipt,18,60,WH01,REF4309
TXN000209,SP00022,2023-01-22,Issue,2,22,WH01,REF5233
TXN000210,SP00070,2023-01-22,Receipt,13,33,WH05,REF3883
TXN000211,SP00127,2023-01-22,Issue,1,29,WH04,REF1326
TXN000212,SP00099,2023-01-22,Issue,1,7,WH03,REF5882
TXN000213,SP00165,2023-01-22,Receipt,18,22,WH03,REF2479
TXN000214,SP00050,2023-01-22,Issue,2,22,WH02,REF2833
TXN000215,SP00164,2023-01-22,Issue,5,14,WH01,REF9551
TXN000216,SP00145,2023-01-22,Issue,5,48,WH05,REF5125
TXN000217,SP00040,2023-01-22,Issue,1,13,WH02,REF3003
TXN000218,SP00125,2023-01-22,Receipt,15,41,WH03,REF7388
TXN000219,SP00069,2023-01-23,Receipt,12,37,WH04,REF4571
TXN000220,SP00033,2023-01-23,Issue,2,66,WH02,REF5498
TXN000221,SP00105,2023-01-23,Issue,3,7,WH05,REF1916
TXN000222,SP00041,2023-01-23,Issue,3,31,WH01,REF6185
TXN000223,SP00133,2023-01-23,Issue,4,2,WH02,REF5550
TXN000224,SP00031,2023-01-23,Receipt,9,19,WH03,REF8786
TXN000225,SP00022,2023-01-23,Receipt,14,36,WH01,REF1570
TXN000226,SP00031,2023-01-23,Receipt,6,25,WH02,REF5144
TXN000227,SP00008,2023-01-23,Issue,3,19,WH03,REF2999
TXN000228,SP00027,2023-01-23,Issue,2,17,WH04,REF7364
TXN000229,SP00188,2023-01-23,Issue,4,1,WH03,REF5929
TXN000230,SP00035,2023-01-23,Issue,2,16,WH03,REF4446
TXN000231,SP00183,2023-01-23,Receipt,10,22,WH04,REF6196
TXN000232,SP00010,2023-01-23,Receipt,18,87,WH01,REF5489
TXN000233,SP00051,2023-01-23,Receipt,20,38,WH04,REF7765
TXN000234,SP00077,2023-01-24,Receipt,8,15,WH02,REF5275
TXN000235,SP00166,2023-01-24,Issue,3,71,WH04,REF9973
TXN000236,SP00192,2023-01-24,Receipt,19,26,WH01,REF1853
TXN000237,SP00157,2023-01-24,Issue,2,27,WH04,REF3229
TXN000238,SP00057,2023-01-24,Issue,2,62,WH03,REF6140
TXN000239,SP00028,2023-01-24,Issue,1,29,WH02,REF5089
TXN000240,SP00055,2023-01-24,Issue,2,43,WH05,REF7722
TXN000241,SP00093,2023-01-24,Receipt,15,58,WH04,REF8837
TXN000242,SP00042,2023-01-25,Issue,2,33,WH05,REF6367
TXN000243,SP00087,2023-01-25,Receipt,11,22,WH01,REF7791
TXN000244,SP00019,2023-01-25,Issue,4,15,WH04,REF4677
TXN000245,SP00171,2023-01-25,Issue,1,2,WH05,REF4747
TXN000246,SP00158,2023-01-25,Receipt,19,43,WH02,REF5289
TXN000247,SP00084,2023-01-25,Receipt,10,25,WH01,REF7570
TXN000248,SP00044,2023-01-25,Issue,5,47,WH03,REF3445
TXN000249,SP00075,2023-01-25,Issue,3,33,WH02,REF2922
TXN000250,SP00034,2023-01-25,Issue,5,1,WH04,REF8433
TXN000251,SP00077,2023-01-25,Receipt,20,35,WH01,REF4677
TXN000252,SP00120,2023-01-25,Receipt,11,46,WH03,REF5717
TXN000253,SP00143,2023-01-25,Receipt,17,39,WH02,REF8066
TXN000254,SP00140,2023-01-25,Receipt,11,41,WH03,REF4102
TXN000255,SP00093,2023-01-25,Issue,4,54,WH02,REF1471
TXN000256,SP00059,2023-01-26,Receipt,12,19,WH05,REF8388
TXN000257,SP00056,2023-01-26,Receipt,16,30,WH05,REF8506
TXN000258,SP00091,2023-01-26,Issue,4,63,WH02,REF6296
TXN000259,SP00117,2023-01-26,Receipt,17,63,WH02,REF7283
TXN000260,SP00020,2023-01-26,Receipt,13,51,WH01,REF2561
TXN000261,SP00175,2023-01-26,Issue,1,10,WH03,REF4847
TXN000262,SP00062,2023-01-26,Issue,3,24,WH05,REF1745
TXN000263,SP00165,2023-01-27,Issue,5,17,WH04,REF5956
TXN000264,SP00037,2023-01-27,Receipt,16,38,WH02,REF1673
TXN000265,SP00099,2023-01-27,Issue,3,4,WH02,REF9253
TXN000266,SP00127,2023-01-28,Receipt,19,48,WH02,REF2468
TXN000267,SP00076,2023-01-28,Issue,5,0,WH04,REF3323
TXN000268,SP00118,2023-01-28,Issue,3,2,WH01,REF3095
TXN000269,SP00023,2023-01-28,Issue,3,22,WH03,REF8046
TXN000270,SP00090,2023-01-28,Issue,3,12,WH05,REF5321
TXN000271,SP00165,2023-01-28,Issue,4,13,WH02,REF6169
TXN000272,SP00007,2023-01-28,Receipt,20,32,WH02,REF8208
TXN000273,SP00190,2023-01-28,Issue,2,11,WH01,REF4766
TXN000274,SP00085,2023-01-28,Issue,4,19,WH03,REF3679
TXN000275,SP00091,2023-01-28,Receipt,18,81,WH01,REF9108
TXN000276,SP00176,2023-01-29,Issue,5,0,WH04,REF8499
TXN000277,SP00028,2023-01-29,Issue,2,27,WH01,REF6727
TXN000278,SP00033,2023-01-29,Issue,3,63,WH02,REF3757
TXN000279,SP00118,2023-01-30,Issue,3,0,WH05,REF4479
TXN000280,SP00195,2023-01-30,Issue,1,15,WH05,REF3958
TXN000281,SP00102,2023-01-30,Issue,1,5,WH02,REF9161
TXN000282,SP00019,2023-01-30,Issue,3,12,WH01,REF5657
TXN000283,SP00036,2023-01-30,Issue,1,25,WH04,REF7120
TXN000284,SP00003,2023-01-30,Issue,1,36,WH03,REF3519
TXN000285,SP00006,2023-01-30,Issue,4,28,WH04,REF8439
TXN000286,SP00094,2023-01-30,Issue,3,5,WH05,REF1095
TXN000287,SP00115,2023-01-30,Issue,1,42,WH05,REF8423
TXN000288,SP00172,2023-01-30,Issue,5,0,WH02,REF4463
TXN000289,SP00066,2023-01-30,Receipt,14,51,WH03,REF1909
TXN000290,SP00071,2023-01-30,Receipt,17,81,WH01,REF7534
TXN000291,SP00093,2023-01-30,Issue,2,52,WH04,REF2461
TXN000292,SP00070,2023-01-30,Issue,2,31,WH02,REF7365
TXN000293,SP00039,2023-01-31,Issue,2,16,WH01,REF5891
TXN000294,SP00081,2023-01-31,Issue,4,28,WH03,REF3151
TXN000295,SP00172,2023-01-31,Issue,1,0,WH03,REF9399
TXN000296,SP00107,2023-01-31,Issue,4,11,WH04,REF8805
TXN000297,SP00005,2023-01-31,Issue,5,6,WH04,REF2478
TXN000298,SP00084,2023-01-31,Receipt,16,41,WH05,REF4053
TXN000299,SP00199,2023-01-31,Issue,4,24,WH01,REF1662
TXN000300,SP00195,2023-01-31,Issue,4,11,WH02,REF3540
TXN000301,SP00184,2023-01-31,Receipt,7,32,WH03,REF8671
TXN000302,SP00047,2023-01-31,Issue,4,7,WH03,REF3434
TXN000303,SP00088,2023-01-31,Receipt,14,30,WH02,REF9570
TXN000304,SP00081,2023-01-31,Issue,5,23,WH01,REF2253
TXN000305,SP00162,2023-01-31,Receipt,8,24,WH05,REF7961
TXN000306,SP00028,2023-01-31,Issue,4,23,WH05,REF5151
TXN000307,SP00022,2023-01-31,Issue,5,31,WH01,REF9248
TXN000308,SP00156,2023-02-01,Issue,4,40,WH02,REF3985
TXN000309,SP00075,2023-02-01,Receipt,6,39,WH01,REF7819
TXN000310,SP00177,2023-02-01,Receipt,14,39,WH03,REF8454
TXN000311,SP00130,2023-02-02,Issue,5,16,WH03,REF6592
TXN000312,SP00042,2023-02-02,Receipt,10,43,WH02,REF4032
TXN000313,SP00063,2023-02-02,Issue,5,41,WH03,REF2742
TXN000314,SP00018,2023-02-02,Issue,1,13,WH01,REF7470
TXN000315,SP00077,2023-02-02,Issue,2,33,WH04,REF8539
TXN000316,SP00020,2023-02-02,Issue,5,46,WH04,REF5961
TXN000317,SP00053,2023-02-02,Issue,5,46,WH03,REF7471
TXN000318,SP00184,2023-02-02,Receipt,7,39,WH02,REF3213
TXN000319,SP00168,2023-02-02,Issue,1,11,WH01,REF4083
TXN000320,SP00126,2023-02-02,Receipt,11,13,WH04,REF3378
TXN000321,SP00151,2023-02-02,Issue,4,0,WH05,REF4127
TXN000322,SP00145,2023-02-02,Issue,4,44,WH02,REF8765
TXN000323,SP00049,2023-02-02,Issue,1,20,WH02,REF3497
TXN000324,SP00123,2023-02-02,Receipt,19,92,WH04,REF8724
TXN000325,SP00158,2023-02-02,Issue,4,39,WH05,REF4975
TXN000326,SP00068,2023-02-03,Issue,4,1,WH01,REF6469
TXN000327,SP00024,2023-02-03,Issue,4,10,WH04,REF9121
TXN000328,SP00112,2023-02-03,Receipt,14,60,WH01,REF8987
TXN000329,SP00110,2023-02-03,Issue,5,59,WH05,REF8993
TXN000330,SP00091,2023-02-03,Issue,1,80,WH05,REF1311
TXN000331,SP00198,2023-02-03,Issue,3,6,WH05,REF2040
TXN000332,SP00080,2023-02-04,Receipt,18,22,WH04,REF2915
TXN000333,SP00127,2023-02-04,Issue,3,45,WH04,REF8147
TXN000334,SP00187,2023-02-04,Issue,3,12,WH02,REF8688
TXN000335,SP00154,2023-02-04,Issue,2,3,WH05,REF4599
TXN000336,SP00092,2023-02-04,Issue,3,23,WH05,REF8675
TXN000337,SP00064,2023-02-04,Issue,3,23,WH04,REF7829
TXN000338,SP00141,2023-02-04,Receipt,16,31,WH04,REF3654
TXN000339,SP00079,2023-02-05,Issue,1,60,WH04,REF3115
TXN000340,SP00143,2023-02-05,Issue,2,37,WH05,REF9063
TXN000341,SP00139,2023-02-05,Issue,4,33,WH04,REF5975
TXN000342,SP00041,2023-02-05,Issue,5,26,WH01,REF1297
TXN000343,SP00152,2023-02-05,Issue,3,22,WH03,REF3598
TXN000344,SP00181,2023-02-05,Issue,5,28,WH01,REF2043
TXN000345,SP00128,2023-02-05,Issue,1,48,WH05,REF4714
TXN000346,SP00008,2023-02-05,Issue,2,17,WH04,REF5224
TXN000347,SP00142,2023-02-05,Receipt,16,40,WH01,REF5382
TXN000348,SP00195,2023-02-05,Receipt,8,19,WH01,REF8173
TXN000349,SP00171,2023-02-05,Receipt,8,10,WH01,REF2669
TXN000350,SP00031,2023-02-05,Receipt,6,31,WH05,REF2727
TXN000351,SP00025,2023-02-06,Issue,2,30,WH03,REF3572
TXN000352,SP00052,2023-02-06,Receipt,19,62,WH05,REF9165
TXN000353,SP00089,2023-02-06,Receipt,8,9,WH02,REF6959
TXN000354,SP00016,2023-02-06,Issue,2,5,WH01,REF4307
TXN000355,SP00004,2023-02-06,Issue,4,0,WH01,REF5019
TXN000356,SP00050,2023-02-07,Issue,3,19,WH05,REF3805
TXN000357,SP00008,2023-02-07,Issue,3,14,WH04,REF6908
TXN000358,SP00067,2023-02-07,Issue,2,58,WH02,REF9677
TXN000359,SP00141,2023-02-07,Issue,2,29,WH02,REF8025
TXN000360,SP00108,2023-02-07,Issue,4,5,WH04,REF9456
TXN000361,SP00085,2023-02-07,Receipt,16,35,WH01,REF8251
TXN000362,SP00077,2023-02-07,Issue,1,32,WH05,REF2140
TXN000363,SP00185,2023-02-07,Issue,3,23,WH04,REF3692
TXN000364,SP00012,2023-02-07,Issue,4,27,WH01,REF3473
TXN000365,SP00110,2023-02-07,Receipt,6,65,WH05,REF5845
TXN000366,SP00156,2023-02-07,Issue,5,35,WH03,REF6139
TXN000367,SP00158,2023-02-07,Receipt,5,44,WH03,REF9647
TXN000368,SP00157,2023-02-07,Issue,2,25,WH04,REF8310
TXN000369,SP00156,2023-02-07,Issue,5,30,WH05,REF8244
TXN000370,SP00127,2023-02-07,Issue,4,41,WH02,REF5940
TXN000371,SP00097,2023-02-08,Issue,3,14,WH04,REF3064
TXN000372,SP00021,2023-02-08,Issue,5,28,WH03,REF4501
TXN000373,SP00031,2023-02-08,Issue,5,26,WH03,REF9541
TXN000374,SP00076,2023-02-08,Issue,2,0,WH01,REF1456
TXN000375,SP00066,2023-02-09,Issue,3,48,WH02,REF5979
TXN000376,SP00130,2023-02-09,Receipt,8,24,WH01,REF7110
TXN000377,SP00060,2023-02-09,Issue,5,1,WH03,REF3028
TXN000378,SP00050,2023-02-09,Issue,1,18,WH04,REF5881
TXN000379,SP00118,2023-02-09,Issue,1,0,WH04,REF6553
TXN000380,SP00050,2023-02-09,Receipt,12,30,WH03,REF5902
TXN000381,SP00149,2023-02-09,Issue,5,2,WH02,REF7187
TXN000382,SP00046,2023-02-09,Issue,2,21,WH01,REF6371
TXN000383,SP00177,2023-02-09,Issue,2,37,WH03,REF8443
TXN000384,SP00130,2023-02-09,Issue,4,20,WH04,REF2342
TXN000385,SP00067,2023-02-09,Issue,4,54,WH02,REF8802
TXN000386,SP00051,2023-02-09,Issue,1,37,WH03,REF9622
TXN000387,SP00123,2023-02-09,Issue,5,87,WH05,REF7468
TXN000388,SP00034,2023-02-09,Receipt,20,21,WH04,REF8210
TXN000389,SP00003,2023-02-09,Issue,4,32,WH04,REF3668
TXN000390,SP00189,2023-02-10,Issue,4,0,WH04,REF3119
TXN000391,SP00005,2023-02-10,Receipt,8,14,WH02,REF8461
TXN000392,SP00030,2023-02-10,Issue,2,27,WH05,REF7051
TXN000393,SP00098,2023-02-10,Receipt,8,36,WH05,REF7694
TXN000394,SP00099,2023-02-10,Issue,3,1,WH05,REF5744
